AST%,Opp,TRB%,Age
0.0,NJN,0.0,37-144
0.0,CLE,4.4,37-220
7.8,MIL,14.9,37-216
14.5,IND,23.3,37-112
9.7,NJN,19.7,37-151
0.0,DEN,13.2,37-193
0.0,BOS,10.6,37-111
10.3,SAS,10.7,37-157
7.5,MIN,5.7,37-130
18.7,OKC,5.9,37-135
0.0,CLE,7.0,37-109
0.0,PHI,0.0,37-118
0.0,BOS,11.9,37-162
0.0,UTA,19.3,37-184
0.0,HOU,13.3,37-129
6.5,CHA,15.3,37-215
0.0,CLE,18.9,37-200
14.7,WAS,18.1,37-208
15.3,NYK,11.5,37-119
0.0,ORL,13.0,37-212
10.1,MEM,9.0,37-132
0.0,WAS,32.8,37-155
21.6,NOH,18.9,37-147
9.9,IND,18.3,37-107
14.6,CHI,15.9,37-218
0.0,MIA,15.3,37-211
5.3,SAC,18.3,37-160
7.8,ORL,26.8,37-206
10.0,ATL,18.7,37-181
16.4,MEM,27.1,37-175
0.0,CLE,15.9,37-164
0.0,CHI,18.1,37-116
