ORtg,USG%,GS,Opp,MP
200,14.8,1,NYK,9:15
119,9.4,0,IND,19:44
200,4.3,1,UTA,22:08
94,23.4,1,BOS,17:23
140,11.8,1,WAS,18:37
135,19.2,1,IND,29:03
113,9.9,0,DEN,8:46
64,10.5,1,HOU,13:03
116,18.2,1,CHI,25:53
158,17.8,0,LAL,14:40
141,13.6,1,PHI,19:02
126,20.2,1,HOU,18:04
112,19.2,1,MIL,27:53
22,13.0,1,GSW,9:33
65,13.1,1,SAS,17:44
91,15.3,1,LAC,35:44
50,12.2,1,NJN,12:12
122,9.3,1,ORL,30:48
82,19.8,1,PHO,20:55
107,18.8,1,ATL,35:04
121,13.8,1,CHI,30:43
94,20.8,1,CHA,16:11
110,8.1,1,NYK,23:28
137,9.3,1,LAC,16:07
69,13.5,0,NOK,14:05
69,7.7,1,SAC,11:15
 ,0.0,0,UTA,5:24
177,9.6,1,MIL,22:53
67,9.3,1,DAL,16:21
137,7.8,1,ORL,39:30
126,17.2,1,MEM,19:40
136,15.7,0,BOS,18:54
121,15.4,1,MEM,33:49
125,13.9,1,ORL,20:06
144,12.0,1,MIN,31:39
168,8.7,1,SAC,15:56
111,26.5,1,GSW,20:32
104,19.7,1,PHI,21:54
119,22.7,1,IND,17:19
101,16.1,1,MIA,17:42
108,12.7,1,BOS,30:46
206,2.3,1,PHI,22:11
45,6.5,0,DAL,7:16
137,20.8,1,DET,17:06
116,15.8,1,NYK,16:51
158,20.1,1,CHI,11:55
62,5.2,1,NJN,9:34
