H,RBI,Team,SB,POS,GIDP,2B,HR
6,3,LAN,0,C,2,1,1
1,1,GL,0,P,0,0,0
28,9,WIS,11,OF,2,4,1
130,54,BG,1,1B,18,36,4
89,44,GL,21,3B,8,17,8
3,1,BG,0,C,0,0,0
113,61,FW,7,OF,15,21,8
82,43,CLI,3,C,6,15,2
2,0,LAN,1,SS,1,0,0
73,23,KC,8,OF,4,12,1
55,29,WM,1,RF,2,13,4
75,40,LAN,3,C,8,22,5
26,9,LAN,2,2B,1,7,0
16,4,KC,0,2B,4,0,0
83,29,PEO,19,OF,5,9,4
2,0,BG,0,OF,1,1,0
40,21,FW,10,CF,6,6,1
1,0,FW,0,C,0,0,0
3,0,WM,0,SS,0,0,0
132,43,LAN,11,OF,13,17,2
12,6,CLI,0,OF,1,1,0
90,38,BUR,10,RF,9,17,10
1,0,CR,0,2B,0,1,0
72,43,CLI,0,1B,7,14,8
36,11,FW,1,C,3,5,0
32,22,QC,5,CF,0,7,4
11,10,QC,0,1B,0,0,3
95,79,LAN,2,DH,11,22,19
72,43,WIS,5,1B,8,24,6
64,26,DAY,5,OF,2,11,3
104,64,QC,18,2B,8,22,12
41,16,QC,2,OF,4,4,3
61,24,WM,0,DH,5,10,2
108,57,LAN,35,OF,10,20,5
111,68,QC,4,DH,7,18,16
103,42,DAY,25,LF,5,24,8
62,27,QC,3,3B,9,18,4
75,35,DAY,28,OF,6,11,7
20,3,WM,0,3B,4,1,0
14,9,BEL,0,C,4,3,1
84,33,BEL,27,LF,10,18,4
98,31,CR,16,SS,11,18,2
17,11,FW,1,1B,2,5,1
20,15,QC,0,3B,2,5,1
44,19,GL,4,2B,7,6,2
2,1,LAN,0,3B,0,0,0
62,27,DAY,16,CF,4,7,0
14,12,KC,0,OF,0,7,1
2,1,BUR,0,1B,0,0,0
1,1,CLI,0,OF,0,0,1
25,6,LC,5,OF,1,6,0
71,34,GL,6,C,6,18,3
0,0,DAY,0,3B,0,0,0
6,7,QC,0,OF,0,2,1
125,73,CLI,5,1B,6,27,18
4,0,FW,0,OF,0,0,0
26,9,FW,2,2B,4,5,0
24,15,LAN,6,OF,2,3,4
17,8,GL,3,SS,3,1,0
120,39,WM,21,2B,4,21,2
64,26,CR,1,1B,7,10,3
79,24,CLI,11,2B,5,15,5
32,20,CLI,1,RF,2,4,2
107,59,LC,20,LF,7,20,3
25,16,DAY,6,3B,1,3,1
22,4,DAY,1,C,3,6,0
135,61,KC,3,SS,14,20,8
72,37,BUR,8,SS,5,14,2
62,38,BUR,8,OF,3,8,12
9,4,BG,0,SS,0,2,1
9,4,FW,2,2B,2,2,1
83,41,WIS,12,RF,7,13,7
9,5,FW,2,OF,3,1,1
70,38,SB,2,LF,3,14,4
113,46,BEL,10,OF,10,13,5
36,23,PEO,0,1B,1,6,4
116,70,BEL,11,OF,10,32,12
42,19,QC,3,SS,4,8,5
37,28,BUR,5,OF,1,7,9
91,51,CLI,5,LF,10,18,9
23,12,GL,2,OF,4,4,3
16,6,WM,0,3B,0,1,2
2,1,DAY,0,1B,0,0,0
70,28,LAN,8,3B,8,14,5
30,14,BEL,2,OF,2,12,3
76,37,BUR,2,C,11,19,6
135,63,WIS,11,3B,13,35,8
84,49,LC,2,C,8,18,12
133,80,SB,12,LF,7,18,9
17,8,KC,1,C,5,5,1
7,3,DAY,1,OF,2,0,0
106,50,WIS,7,3B,11,21,9
67,33,WIS,3,C,8,18,11
17,7,BUR,3,2B,0,3,1
16,6,QC,1,SS,3,5,0
59,42,QC,2,2B,2,16,7
69,24,SB,9,C,2,14,2
25,7,LAN,1,C,1,4,0
118,100,BEL,8,3B,10,28,28
109,53,BUR,17,OF,8,19,6
78,50,CR,13,OF,6,25,11
7,4,QC,0,OF,0,1,0
7,5,SB,0,CF,2,1,1
74,46,CR,9,OF,9,15,14
50,17,KC,1,LF,5,5,4
49,25,WM,2,C,6,12,8
26,20,WM,0,C,5,8,4
1,1,LC,0,3B,0,0,0
5,0,PEO,1,OF,0,0,0
0,0,WM,0,C,0,0,0
89,40,WM,5,LF,5,20,4
96,64,GL,8,RF,1,31,11
10,4,FW,2,1B,2,0,1
114,68,CLI,7,3B,12,27,13
62,21,WIS,9,2B,4,10,2
82,36,DAY,22,3B,5,15,6
70,27,CR,9,2B,10,12,0
88,44,QC,2,C,7,16,6
63,23,BUR,3,1B,2,20,4
69,37,LAN,15,SS,2,25,9
1,0,CR,0,3B,0,1,0
19,12,WM,0,C,2,4,1
130,47,WIS,26,CF,4,24,10
135,86,LAN,2,1B,13,43,10
81,46,BG,30,3B,8,19,6
4,1,CLI,0,C,0,1,0
14,4,CLI,4,SS,1,0,0
43,15,CLI,2,LF,1,12,2
25,10,DAY,7,CF,2,3,4
140,66,LC,4,1B,8,26,3
68,20,CR,7,SS,3,13,1
20,7,BUR,5,OF,2,5,2
65,28,PEO,18,OF,11,17,4
17,11,WIS,0,C,2,3,4
3,0,WM,2,3B,0,0,0
51,32,CLI,4,RF,2,15,4
21,3,PEO,1,SS,0,3,0
4,1,SB,0,C,0,0,0
92,40,GL,53,CF,2,18,7
63,44,BG,7,LF,5,10,10
33,12,PEO,2,SS,3,2,2
8,7,LC,0,C,1,2,2
123,56,SB,30,SS,8,30,11
4,3,DAY,0,2B,0,1,0
15,3,KC,0,C,1,1,0
30,11,WM,4,1B,4,4,1
141,76,SB,11,1B,8,36,10
122,51,DAY,24,2B,9,27,9
4,3,BUR,0,3B,2,0,0
45,24,GL,10,RF,3,10,8
16,7,WM,0,OF,4,3,1
74,33,BG,2,C,10,9,4
92,48,LC,1,3B,21,21,4
6,1,CR,1,SS,0,1,0
