3B,SB,AB
1,0,150
0,0,30
1,15,239
1,2,235
6,28,269
0,3,117
2,14,240
1,7,96
0,0,21
0,0,24
0,6,118
0,4,64
1,4,32
0,0,35
0,1,158
2,10,276
0,1,102
2,7,114
0,0,0
0,0,67
2,6,201
0,1,158
0,0,92
4,28,269
1,1,142
1,4,124
0,0,14
0,0,43
1,9,194
0,1,19
0,23,194
1,3,65
2,11,191
2,6,128
1,0,234
4,6,245
0,0,37
3,2,250
0,0,15
1,3,162
0,5,142
0,1,32
1,3,86
1,6,163
0,2,34
0,0,8
0,3,93
0,3,42
0,0,10
0,0,3
5,8,191
1,3,152
0,1,86
0,1,99
0,7,147
0,0,29
0,0,259
0,1,82
0,4,87
0,0,58
1,2,115
2,14,276
0,0,30
0,0,13
0,0,15
0,0,8
0,6,219
0,2,106
0,14,241
1,0,131
0,0,3
0,6,106
1,11,218
0,1,130
0,2,87
0,2,37
2,13,157
0,0,75
0,4,28
0,3,202
0,0,3
1,3,166
1,14,182
0,3,56
0,0,45
0,1,12
2,5,137
1,3,49
0,0,14
0,1,114
0,0,67
0,6,154
4,22,212
0,0,134
0,1,15
0,0,83
0,4,180
0,8,128
0,0,7
1,5,162
0,2,45
0,4,45
0,3,166
0,0,5
1,0,3
1,0,202
0,0,23
0,0,11
1,10,169
0,0,10
1,0,79
2,1,210
0,0,11
0,3,157
0,3,249
1,27,260
1,0,146
0,0,17
0,0,18
1,1,221
0,2,28
6,6,192
0,5,136
0,0,10
1,3,152
0,0,0
0,0,17
1,2,248
2,25,269
2,1,246
0,0,86
0,2,22
3,11,166
0,0,22
2,4,233
1,11,208
0,1,34
1,2,51
0,0,82
2,5,181
0,1,190
5,0,180
0,0,58
0,1,34
0,0,115
0,0,10
0,2,216
0,0,239
0,7,230
0,1,131
0,21,182
1,8,230
1,4,182
0,2,86
0,0,6
0,0,7
0,0,56
3,3,242
0,0,4
1,3,243
2,0,84
0,2,46
1,3,234
1,2,272
1,7,85
0,2,111
4,6,195
0,1,107
0,2,13
1,1,160
1,5,100
0,2,102
1,4,168
2,2,88
3,0,203
0,4,124
0,11,207
