b/s,k,s,tot,pts,pct,a/s
0.29,168,133,38,239.0,0.18,7.26
0.61,221,110,67,276.0,0.192,0.08
0.0,5,102,0,48.0,-0.211,0.15
0.0,7,115,0,34.0,0.135,0.23
0.0,1,104,0,9.0,0.067,0.28
0.51,384,132,67,424.5,0.204,0.07
0.39,285,115,45,313.0,0.193,0.03
0.0,20,116,0,45.0,0.073,0.16
0.1,40,105,11,83.5,0.211,10.17
0.32,313,117,37,358.5,0.215,3.85
0.0,2,119,0,12.0,-0.184,0.07
0.66,262,102,67,309.5,0.21,0.02
0.63,266,123,77,309.0,0.235,0.03
0.0,2,115,0,35.0,0.0,0.74
0.61,234,110,67,322.0,0.189,0.05
0.23,358,112,26,396.5,0.141,0.14
0.03,34,119,3,63.5,0.184,0.26
