Time (EST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:31 AM,39.2 °F,-,28.4 °F,65%,30.02 in,10.0 mi,Calm,Calm,-, , ,Overcast
12:51 AM,39.9 °F,37.8 °F,30.0 °F,68%,30.06 in,10.0 mi,SE,3.5 mph,-, , ,Overcast
1:25 AM,41.0 °F,-,30.2 °F,65%,30.00 in,10.0 mi,Calm,Calm,-,0.00 in, ,Overcast
1:51 AM,41.0 °F,-,32.0 °F,70%,30.04 in,10.0 mi,Calm,Calm,-,0.00 in, ,Overcast
2:34 AM,41.0 °F,-,33.8 °F,76%,30.00 in,10.0 mi,Calm,Calm,-, , ,Overcast
2:51 AM,41.0 °F,-,33.1 °F,73%,30.05 in,10.0 mi,Calm,Calm,-, , ,Overcast
3:51 AM,39.9 °F,-,37.9 °F,93%,30.03 in,5.0 mi,Calm,Calm,-,0.06 in,Rain,Light Rain
4:51 AM,41.0 °F,38.0 °F,39.0 °F,93%,30.02 in,3.0 mi,North,4.6 mph,-,0.06 in,Rain,Light Rain
5:43 AM,41.0 °F,-,39.2 °F,93%,29.98 in,3.0 mi,Calm,Calm,-,0.06 in,Rain,Light Rain
5:51 AM,41.0 °F,-,39.9 °F,96%,30.02 in,3.0 mi,Calm,Calm,-,0.08 in,Rain,Rain
6:51 AM,41.0 °F,-,39.9 °F,96%,30.03 in,3.0 mi,Calm,Calm,-,0.11 in,Rain,Light Rain
7:17 AM,41.0 °F,-,41.0 °F,100%,29.99 in,2.0 mi,Calm,Calm,-,0.03 in,Rain,Light Rain
7:32 AM,41.0 °F,-,41.0 °F,100%,29.98 in,1.0 mi,Calm,Calm,-,0.05 in,Rain,Light Rain
7:51 AM,42.1 °F,40.2 °F,41.0 °F,96%,30.03 in,1.0 mi,SE,3.5 mph,-,0.08 in,Rain,Light Rain
8:25 AM,42.8 °F,-,42.8 °F,100%,29.96 in,1.0 mi,Calm,Calm,-,0.02 in, ,Overcast
8:35 AM,42.8 °F,-,42.8 °F,100%,29.97 in,0.5 mi,Calm,Calm,-,0.02 in, ,Overcast
8:51 AM,44.1 °F,-,43.0 °F,96%,30.03 in,1.0 mi,Calm,Calm,-,0.02 in, ,Overcast
9:05 AM,44.6 °F,-,42.8 °F,93%,29.99 in,4.0 mi,Calm,Calm,-, , ,Overcast
9:36 AM,44.6 °F,-,44.6 °F,100%,29.99 in,5.0 mi,Calm,Calm,-, , ,Overcast
9:51 AM,46.0 °F,44.8 °F,45.0 °F,96%,30.04 in,6.0 mi,SSW,3.5 mph,-,0.00 in, ,Light Drizzle
10:15 AM,48.2 °F,-,46.4 °F,93%,30.00 in,2.0 mi,WSW,6.9 mph,-,0.00 in, ,Light Drizzle
10:51 AM,48.9 °F,-,46.9 °F,93%,30.04 in,2.0 mi,WSW,5.8 mph,-,0.00 in, ,Light Drizzle
11:13 AM,48.2 °F,-,46.4 °F,93%,29.98 in,5.0 mi,SW,5.8 mph,-,0.00 in, ,Light Drizzle
11:51 AM,48.9 °F,-,46.9 °F,93%,30.01 in,5.0 mi,SW,8.1 mph,-,0.01 in,Rain,Light Rain
12:30 PM,50.0 °F,-,46.4 °F,87%,29.97 in,6.0 mi,WSW,8.1 mph,-,0.00 in,Rain,Light Rain
12:51 PM,50.0 °F,-,46.9 °F,89%,30.00 in,8.0 mi,SW,10.4 mph,-,0.01 in,Rain,Light Rain
1:51 PM,50.0 °F,-,48.2 °F,94%,29.94 in,6.0 mi,SSW,4.6 mph,-, ,Rain,Light Rain
2:43 PM,50.0 °F,-,48.2 °F,94%,29.93 in,5.0 mi,SSW,3.5 mph,-,0.03 in,Rain,Light Rain
2:51 PM,50.0 °F,-,48.0 °F,93%,29.97 in,5.0 mi,SSW,4.6 mph,-,0.03 in,Rain,Light Rain
3:51 PM,50.0 °F,-,48.0 °F,93%,29.98 in,3.0 mi,South,3.5 mph,-,0.05 in,Rain,Light Rain
4:51 PM,48.9 °F,-,48.0 °F,97%,29.98 in,3.0 mi,Calm,Calm,-,0.05 in,Rain,Light Rain
5:21 PM,48.2 °F,-,48.2 °F,100%,29.94 in,3.0 mi,Calm,Calm,-,0.02 in,Rain,Light Rain
5:51 PM,48.9 °F,-,48.0 °F,97%,29.97 in,5.0 mi,Calm,Calm,-,0.04 in,Rain,Light Rain
6:21 PM,48.2 °F,-,48.2 °F,100%,29.93 in,2.0 mi,Calm,Calm,-,0.01 in,Rain,Light Rain
6:51 PM,48.9 °F,-,48.0 °F,97%,29.96 in,2.0 mi,East,4.6 mph,-,0.02 in,Rain,Light Rain
7:41 PM,48.2 °F,-,48.2 °F,100%,29.93 in,2.0 mi,Calm,Calm,-, ,Rain,Light Rain
7:51 PM,48.9 °F,-,48.0 °F,97%,29.96 in,0.5 mi,Calm,Calm,-,0.05 in,Rain,Light Rain
9:51 PM,48.9 °F,-,48.9 °F,100%,29.93 in,0.5 mi,Calm,Calm,-,0.06 in, ,Overcast
10:51 PM,48.9 °F,-,48.9 °F,100%,29.91 in,0.5 mi,Calm,Calm,-,0.03 in,Rain,Light Rain
11:51 PM,48.9 °F,-,48.9 °F,100%,29.90 in,0.5 mi,Calm,Calm,-,0.06 in,Rain,Light Rain
