G,Rk,ORtg,eFG%,AST%,Opp,STL%,TRB%,GmSc
64,64,76,.333,6.5,WSB,0.0,26.6,2.5
3,3,148,.600,7.3,MIA,2.6,31.6,8.4
73,73,0,.000,0.0,NJN,0.0,0.0,-2.2
75,75,109,.400,0.0,ORL,0.0,8.2,3.0
34,34,70,.200,0.0,NYK,0.0,11.3,-0.2
65,65,103,.429,7.1,SAC,1.5,30.9,10.7
78,78,98,.429,0.0,WSB,0.0,16.0,4.1
4,4,89,.357,0.0,CHH,0.0,10.1,3.9
70,70,201,1.000,0.0,DET,0.0,15.2,4.7
69,69,145,.000,13.2,NYK,4.8,12.1,3.6
50,50,89,.333,0.0,IND,0.0,14.6,1.8
62,62,46, ,0.0,POR,0.0,10.8,-0.3
37,37,117,.500,0.0,ORL,0.0,14.7,5.1
25,25,100,.667,18.8,HOU,0.0,18.1,4.5
11,11,127,.667,9.1,WSB,0.0,11.6,6.9
47,47,103,.400,8.2,SAS,0.0,18.6,5.3
2,2,91,.500,15.2,MIL,4.2,20.1,3.7
7,7,151,.667,0.0,WSB,0.0,20.5,3.7
54,54,104,.500,0.0,DET,0.0,0.0,0.5
55,55,109,.750,0.0,SAS,2.5,14.4,5.0
12,12,23,.000,0.0,CHH,0.0,12.8,-2.6
1,1,122,.571,7.5,MIN,0.0,36.2,9.2
74,74,74,1.000,0.0,MIA,4.4,5.7,2.2
16,16,96,.500,0.0,MIA,0.0,15.8,2.3
15,15,77,.500,0.0,CHI,0.0,13.6,0.3
22,22,90,.222,10.8,IND,2.8,14.5,6.8
72,72,108,.333,0.0,IND,0.0,11.9,1.3
36,36,198, ,0.0,WSB,0.0,15.2,0.6
