Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
1,Jacques Kallis,40 years,South Africa,1,1,0,70.0,70.0,70.00,0,1
2,Ahmed Shehzad,24 years,Pakistan A,1,1,0,66.0,66.0,66.00,0,1
3,AB de Villiers,31 years,South Africa,1,1,0,58.0,58.0,58.00,0,1
4,Alviro Petersen,35 years,South Africa,1,1,0,58.0,58.0,58.00,0,1
5,Azhar Ali,30 years,Pakistan A,1,1,0,54.0,54.0,54.00,0,1
6,Hashim Amla,32 years,South Africa,1,1,0,50.0,50.0,50.00,0,1
7,Shan Masood,26 years,Pakistan A,1,1,0,50.0,50.0,50.00,0,1
8,Asad Shafiq,30 years,Pakistan A,1,1,0,42.0,42.0,42.00,0,0
9,Francois du Plessis,31 years,South Africa,1,2,0,76.0,42.0,38.00,0,0
10,Jean-Paul Duminy,31 years,South Africa,1,2,0,72.0,49.0,36.00,0,0
11,Robin Peterson,36 years,South Africa,1,2,0,24.0,16.0,12.00,0,0
12,Umar Amin,26 years,Pakistan A,1,1,0,12.0,12.0,12.00,0,0
13,Faisal Iqbal,34 years,Pakistan A,1,1,0,10.0,10.0,10.00,0,0
14,Graeme Smith,35 years,South Africa,1,1,0,2.0,2.0,2.00,0,0
15,Imran Khan,28 years, ,1,0,0, , ,--,0,0
16,Ahmed Raza,27 years, ,1,0,0, , ,--,0,0
17,Mohammad Azam,--, ,1,0,0, , ,--,0,0
18,Junaid Khan,26 years, ,1,0,0, , ,--,0,0
19,Mohammad Irfan,33 years, ,1,0,0, , ,--,0,0
20,Abdur Rehman,35 years, ,1,0,0, , ,--,0,0
