POS,HR,CS,Team,H,SF,R,GIDP,AB,Player
1B,0,0,WM,0,0,0,0,4,J Meador
1B,3,1,LAN,29,2,20,2,91,K Nolan
3B,8,3,KC,63,1,27,5,205,R Stovall
3B,15,5,BEL,93,2,56,12,276,J Perez
1B,10,4,CLI,122,4,49,16,509,M Wiswall
1B,24,3,PEO,146,5,62,9,472,R Jones
1B,0,2,KC,10,0,2,1,44,F Cruz
3B,20,2,DAY,127,6,85,6,454,D Vidal
3B,6,0,LAN,54,4,35,11,283,B Namba
3B,0,0,WM,18,0,10,1,61,J Ashenbrenner
1B,10,2,CR,124,6,54,13,482,R Alvarez
1B,16,0,WM,123,2,55,12,490,J Robbins
3B,8,0,KC,80,4,33,4,300,C Cuthbert
1B,15,0,BEL,119,7,66,9,412,M Gonzales
1B,17,2,BUR,129,1,67,13,396,J Whitaker
3B,0,1,CR,34,1,23,6,158,J Campos
3B,8,4,GL,78,3,31,7,336,J Bosnik
1B,2,0,WM,48,2,29,5,156,C Jones
1B,8,4,DAY,92,5,47,6,322,D D'Anna
3B,1,2,GL,41,2,17,8,186,C Henderson
1B,6,4,WIS,111,3,56,9,377,C Hawn
1B,0,0,LC,24,0,8,3,118,C Burnette
1B,7,3,KC,71,0,35,8,339,J Kuebler
1B,0,1,PEO,20,1,8,5,108,B May
1B,1,3,BG,103,4,47,11,372,S Tinoco
3B,6,7,BG,121,0,85,8,427,R Price
3B,9,10,SB,109,3,69,4,361,Z Walters
1B,2,0,KC,24,0,8,4,114,M Watts
3B,0,0,CR,12,0,5,0,71,J Parks
1B,5,2,PEO,92,5,34,6,293,G Rohan
3B,3,7,DAY,99,1,53,7,278,R Torreyes
1B,0,1,CR,15,1,4,2,66,J Yakubik
3B,3,5,BEL,72,5,40,1,335,A Leer
1B,2,0,PEO,52,4,25,5,198,R Cuneo
1B,3,1,FW,38,0,22,2,142,T Medica
