ASSETS,Total,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas City,Dallas,San Francisco
Gold certificate account,"11,050",533,"4,437",319,566,834,724,993,337,140,313,575,"1,279"
Special drawing rights certif. acct.,"7,200",357,"2,823",217,348,599,523,637,204,90,203,396,803
Coin,298,6,13,14,23,44,36,33,20,12,21,36,38
 , , , , , , , , , , , , , 
Loans,419,2,0,0,5,0,110,78,88,64,53,0,19
Acceptances,0,0,0,0,0,0,0,0,0,0,0,0,0
Repurchase Agreements -- triparty(1), , , , , , , , , , , , , 
Federal agency obligations(2), , , , , , , , , , , , , 
Bought outright,228,12,91,7,13,17,14,21,7,3,7,11,25
Held under repurchase agreements,"7,110",0,"7,110",0,0,0,0,0,0,0,0,0,0
U.S. government securities(2), , , , , , , , , , , , , 
Bought outright--Bills,"199,410","10,312","79,414","5,973","11,543","15,002","12,138","18,729","6,559","2,385","5,980","9,936","21,440"
Notes (3),"211,803","10,953","84,350","6,344","12,260","15,934","12,892","19,893","6,967","2,533","6,352","10,554","22,772"
Bonds (4),"80,053","4,140","31,881","2,398","4,634","6,022","4,873","7,519","2,633",957,"2,401","3,989","8,607"
Total bought outright(5),"491,266","25,405","195,644","14,714","28,437","36,958","29,903","46,140","16,160","5,875","14,732","24,478","52,819"
Held under repurchase agreements,"2,160",0,"2,160",0,0,0,0,0,0,0,0,0,0
Total U.S. govt. securities,"493,426","25,405","197,804","14,714","28,437","36,958","29,903","46,140","16,160","5,875","14,732","24,478","52,819"
Total loans and securities,"505,194","25,419","209,016","14,721","28,455","36,975","30,027","46,239","16,255","5,942","14,792","24,490","52,863"
 , , , , , , , , , , , , , 
Items in process of collection,"9,736",371,"1,210",398,318,712,919,"1,159",563,710,543,481,"2,353"
Bank premises,"1,340",93,164,50,156,124,124,107,32,129,51,146,165
Other assets(5),"32,829","1,485","10,837",967,"1,946","4,574","2,078","2,951",820,758,836,"1,358","4,218"
Interdistrict settlement account,0,"+ 2,671","+ 5,933","+ 5,066",- 659,"- 9,303","+ 5,348","+14,880","+ 2,547","- 5,584","+ 1,099","-22,485",+ 487
TOTAL ASSETS,"567,648","30,935","234,434","21,752","31,153","34,559","39,779","67,000","20,779","2,197","17,859","4,997","62,205"
