GIDP,POS,BB,SB,AVG,G,OBP,HR,SF,R
2,C,8,0,0.231,25,0.311,0,2,10
5,C,37,2,0.272,50,0.427,4,0,21
1,C,6,0,0.073,14,0.208,1,0,1
3,C,11,1,0.2,41,0.27,3,0,12
6,C,49,5,0.272,98,0.365,4,4,40
5,C,9,1,0.255,46,0.309,1,1,7
10,C,25,1,0.247,85,0.322,5,3,41
5,C,8,1,0.232,47,0.267,6,3,20
2,C,0,0,0.167,16,0.167,1,0,2
7,C,35,0,0.277,80,0.362,4,1,42
13,C,38,1,0.283,105,0.348,8,7,66
1,C,2,0,0.091,6,0.231,0,0,1
9,C,27,0,0.216,82,0.285,7,1,40
2,C,6,0,0.211,14,0.326,1,1,3
0,C,0,0,0.5,1,0.5,0,0,1
9,C,28,0,0.206,63,0.315,9,1,26
1,C,26,0,0.232,82,0.315,5,2,20
6,C,34,8,0.242,102,0.312,15,6,62
3,C,8,0,0.181,24,0.269,4,0,13
2,C,7,1,0.195,27,0.26,1,1,6
2,C,10,3,0.203,27,0.292,0,0,7
3,C,2,0,0.264,32,0.289,3,0,9
8,C,27,3,0.294,81,0.371,1,3,22
0,C,0,0,0.0,2,0.0,0,0,0
0,C,3,0,0.083,4,0.333,0,1,1
12,C,9,4,0.287,89,0.322,10,0,54
1,C,3,0,0.375,6,0.474,0,0,0
2,C,7,0,0.191,33,0.255,2,1,5
5,C,8,0,0.21,24,0.281,0,0,11
8,C,42,0,0.248,83,0.348,3,1,39
3,C,7,0,0.317,43,0.365,7,2,24
0,C,0,0,0.0,1,0.0,0,0,0
0,C,2,0,0.233,9,0.281,0,0,3
0,C,0,0,0.143,2,0.143,0,0,1
2,C,10,0,0.209,30,0.287,3,0,9
2,C,16,0,0.348,23,0.467,3,3,14
1,C,7,0,0.276,36,0.341,4,1,17
0,C,4,0,0.243,11,0.317,0,0,3
0,C,1,0,0.0,2,0.286,0,0,0
