USG%,AST%,Date,ORB%,DRtg,Opp,BLK%,TS%
19.0,15.3,2012-01-07,0.0,106,NYK,18.6,.333
6.9,0.0,2012-04-17,0.0,79,CLE,17.3,.000
8.4,0.0,2012-03-18,14.2,86,LAC,9.1,.000
0.0,0.0,2012-01-28,0.0,112,PHI,0.0, 
3.7,0.0,2012-03-06,0.0,92,LAL,0.0,.500
5.7,0.0,2012-03-28,20.8,80,CLE,17.5,.266
0.0,18.4,2012-01-30,23.1,122,MIL,0.0, 
9.1,14.7,2012-04-05,9.8,92,WAS,3.1,.568
7.1,7.4,2012-03-14,10.9,110,SAC,0.0,.000
2.7,0.0,2012-04-08,11.8,103,MIA,4.7, 
4.8,0.0,2012-01-10,0.0,112,DAL,0.0,1.000
4.3,0.0,2012-03-21,5.9,109,DEN,0.0,.284
2.8,6.5,2012-04-12,7.6,103,CHA,0.0,.000
2.4,0.0,2012-01-17,13.1,112,HOU,12.4,.000
9.7,9.9,2011-12-26,11.1,96,IND,10.1,.333
2.7,7.7,2012-04-06,14.6,108,ATL,0.0,.000
3.9,9.7,2012-02-08,0.0,83,NJN,7.4, 
14.8,14.4,2012-03-23,12.4,83,MIA,3.2,.205
4.6,0.0,2011-12-28,0.0,102,CLE,0.0,.000
11.3,0.0,2012-03-30,22.6,97,CHI,0.0,.500
15.0,21.6,2012-02-04,0.0,82,NOH,0.0,.000
9.0,16.4,2012-03-03,0.0,110,MEM,0.0, 
3.0,0.0,2012-01-21,0.0,110,POR,4.5,1.000
12.7,10.3,2012-02-14,13.4,104,SAS,2.6,.815
