eFG%,Date,DRB%,TRB%
 ,1999-12-06,20.2,20.2
.667,2000-04-16,16.8,12.0
.333,2000-02-28,23.4,12.9
 ,2000-01-15,48.0,26.1
 ,2000-02-06,30.8,16.9
.600,2000-01-03,6.8,6.9
 ,2000-03-25,36.7,18.9
.500,2000-04-19,38.1,31.2
.000,1999-12-12,0.0,7.1
.000,2000-04-15,16.7,15.2
1.000,1999-12-17,14.9,7.4
.000,1999-12-22,21.8,11.6
.000,2000-03-16,10.7,5.9
.000,1999-11-12,0.0,7.5
.500,1999-11-04,26.5,18.5
.000,1999-11-09,0.0,0.0
.600,1999-12-10,7.3,7.2
.500,2000-03-27,0.0,7.4
.000,1999-11-06,12.8,5.9
 ,1999-12-29,0.0,0.0
 ,2000-03-10,0.0,0.0
 ,1999-11-08,0.0,0.0
.500,2000-04-12,0.0,0.0
.200,2000-01-05,14.9,18.5
.667,1999-12-04,0.0,3.0
.571,2000-04-18,21.4,17.1
.200,2000-01-06,31.4,24.1
.500,2000-01-19,24.6,18.2
