QS,GS,HR,ER,SO,H,G,L,BAVG,S
0,0,1,10,0,26,35,2,0.228,0
0,0,7,26,0,51,56,2,0.25,1
0,0,0,0,0,1,4,0,0.125,0
0,3,1,6,0,18,4,0,0.257,0
0,28,19,73,0,161,28,6,0.245,0
0,32,26,73,2,176,32,11,0.216,0
0,2,4,8,0,12,4,0,0.324,0
0,0,1,7,0,12,11,0,0.316,1
0,31,19,98,0,224,31,16,0.301,0
0,34,16,91,2,243,34,9,0.264,0
0,23,14,50,1,142,23,6,0.249,0
0,0,6,19,0,36,49,2,0.209,0
0,2,3,7,0,11,2,1,0.289,0
0,0,4,15,0,22,9,1,0.338,0
0,16,18,48,0,116,26,6,0.299,0
0,0,1,4,0,8,6,0,0.308,0
0,0,1,12,0,28,30,1,0.207,0
0,0,7,20,0,46,68,0,0.203,8
0,0,3,12,0,37,46,1,0.175,4
0,33,20,107,1,244,33,12,0.295,0
0,0,3,19,0,39,26,1,0.262,0
0,7,5,11,0,29,7,1,0.22,0
0,0,5,17,0,38,18,0,0.388,0
0,0,0,0,0,1,3,0,0.1,0
0,22,17,52,0,106,22,7,0.219,0
0,7,11,31,0,50,7,4,0.325,0
0,0,4,11,0,19,25,1,0.216,0
0,0,0,11,0,31,17,0,0.279,1
0,33,29,96,0,207,33,9,0.272,0
0,2,2,4,0,13,3,0,0.289,0
0,0,5,26,0,77,74,4,0.276,0
0,0,1,8,0,27,24,1,0.31,0
0,4,3,16,0,29,4,2,0.312,0
0,0,3,9,0,23,27,0,0.228,0
0,0,4,11,0,18,12,0,0.321,0
0,0,11,17,0,38,65,3,0.164,0
0,5,0,4,0,15,5,1,0.179,0
0,15,15,47,0,102,30,6,0.258,0
0,32,10,74,0,206,33,10,0.257,0
0,0,10,28,0,63,40,2,0.318,0
0,0,3,31,0,79,67,3,0.303,1
0,0,4,15,0,26,23,0,0.338,0
0,0,5,13,0,51,52,2,0.256,0
0,0,6,14,0,20,15,0,0.274,0
0,0,1,7,0,15,8,0,0.349,0
0,31,27,94,1,198,33,12,0.27,0
0,0,3,12,0,21,16,1,0.323,0
0,0,1,13,0,50,52,1,0.26,0
0,4,1,11,0,23,4,2,0.274,0
0,0,7,35,0,87,73,3,0.272,0
0,0,0,0,0,0,1,0,0.0,0
0,0,1,3,0,8,6,0,0.276,0
0,0,0,9,0,21,27,0,0.212,0
0,0,6,19,0,46,52,3,0.263,1
