Sr. No,Name,Age,Team,Mats,Inns,N.O.,Runs,HS,AVG,100,50
1,Shoaib Malik,34 years,Pakistan,4,3,1,70,42,35.00,0,0
2,Chamara Kapugedera,28 years,Sri Lanka,3,3,2,62,27,62.00,0,0
3,Elton Chigumbura,29 years,Zimbabwe,4,4,0,64,30,16.00,0,0
4,Zubin Surkari,35 years,Canada,1,1,0,0,0,0.00,0,0
5,Umar Bhatti,32 years,Canada,3,3,2,20,11,20.00,0,0
6,Ajantha Mendis,30 years,Sri Lanka,3,0,0,0,0,--,0,0
7,Dilhara Lokuhettige,35 years,Sri Lanka,2,1,1,18,18,--,0,0
8,Misbah ul Haq,41 years,Pakistan,4,3,1,60,23,30.00,0,0
9,Nuwan Kulasekara,33 years,Sri Lanka,2,2,1,20,19,20.00,0,0
10,Khalid Latif,30 years,Pakistan,1,1,0,0,0,0.00,0,0
11,Mohammad Iqbal,42 years,Canada,3,3,0,27,22,9.00,0,0
12,Thilina Kandamby,33 years,Sri Lanka,3,3,0,11,10,3.67,0,0
13,Cephas Zhuwao,31 years,Zimbabwe,3,3,0,12,12,4.00,0,0
14,TM Dilshan,39 years,Sri Lanka,4,4,1,66,33,22.00,0,0
15,Sohail Khan,31 years,Pakistan,1,0,0,0,0,--,0,0
16,Stuart Matsikenyeri,32 years,Zimbabwe,4,4,0,13,6,3.25,0,0
17,Asif Mulla,35 years,Canada,4,4,0,11,8,2.75,0,0
18,Abdool Samad,36 years,Canada,3,3,0,47,29,15.67,0,0
19,Sanath Jayasuriya,46 years,Sri Lanka,3,3,0,62,40,20.67,0,0
20,Mahela Udawatte,29 years,Sri Lanka,3,3,0,66,25,22.00,0,0
