Date,GmSc,ORB%,DRB%,Age,TS%,Tm,ORtg
1999-12-14,3.3,0.0,42.7,30-096,.667,DAL,107
2000-01-17,0.7,0.0,0.0,30-130,1.000,DAL,80
2000-01-27,6.0,6.9,32.8,30-140,.563,DAL,100
1999-11-27,1.1,11.1,9.8,30-079,.333,DAL,86
2000-04-13,0.4,0.0,26.7,30-217,.174,DAL,29
1999-11-29,4.8,9.9,19.4,30-081,.508,DAL,92
1999-11-04,5.6,6.1,24.2,30-056,.500,DAL,85
1999-12-08,3.7,0.0,7.7,30-090,.509,DAL,107
2000-02-24,2.0,15.0,11.2,30-168,.233,DAL,64
2000-02-28,6.8,14.6,13.0,30-172,.799,DAL,104
2000-04-06,2.0,0.0,13.9,30-210,.644,DAL,132
2000-03-14,3.8,8.7,25.0,30-187,.273,DAL,77
1999-11-23,3.5,6.1,0.0,30-075,.750,DAL,157
2000-03-28,-1.5,0.0,18.0,30-201,.333,DAL,40
2000-04-18,4.0,0.0,30.8,30-222,.333,DAL,64
2000-04-02,3.9,17.1,41.1,30-206,.694,DAL,114
2000-01-15,5.6,0.0,10.1,30-128,.750,DAL,158
2000-03-06,3.0,11.9,0.0,30-179,.694,DAL,124
2000-03-16,18.4,18.4,29.7,30-189,.683,DAL,166
1999-11-20,-0.5,0.0,16.5,30-072,.333,DAL,38
2000-01-25,2.0,0.0,0.0,30-138,1.000,DAL,200
1999-11-19,0.6,10.3,31.0,30-071,.200,DAL,58
2000-03-11,-0.3,37.9,17.8,30-184,.167,DAL,70
1999-12-23,0.5,10.0,0.0,30-105,.333,DAL,116
1999-12-02,3.4,13.4,16.9,30-084,.355,DAL,81
2000-02-29,11.5,18.7,57.1,30-173,.545,DAL,103
2000-01-23,-0.4,0.0,0.0,30-136,.000,DAL,0
2000-04-08,0.0,5.4,12.5,30-212,.255,DAL,54
2000-01-04,0.3,0.0,26.7,30-117, ,DAL,65
2000-03-18,0.9,0.0,18.6,30-191, ,DAL,218
