Date,Opponent,Score,tack,ast,tot,sack,lost,tfl,yds,ff,fr,td,int,brup,blk,saf
Sep 1,at Franklin & Marshall,"L, 35-28",2,0,2,-,-,0,-,-,-,-,-,-,-,-
Sep 8,at Sewanee,"W, 28-6",3,0,3,-,-,0,-,-,-,-,-,-,-,-
Sep 15,Centre,"W, 34-16",0,2,2,-,-,0,-,-,-,-,-,-,-,-
Sep 29,at Guilford,"W, 42-21",2,0,2,-,-,0,-,-,-,-,-,-,-,-
Oct 6,Emory & Henry,"W, 45-28",1,4,5,-,-,0,-,-,-,-,-,-,-,-
Oct 13,Randolph-Macon,"W, 49-14",2,4,6,-,-,0,-,-,-,-,-,-,-,-
Oct 20,at Bridgewater,"L, 31-14",-,-,0,-,-,0,-,-,-,-,-,-,-,-
Oct 27,at Catholic,"W, 41-14",1,4,5,-,-,0,-,-,-,-,-,-,-,-
Nov 3,Hampden-Sydney,"W, 45-42",1,0,1,-,-,0,-,-,-,-,-,-,-,-
Nov 10,Shenandoah,"W, 42-23",0,1,1,-,-,0,-,-,-,-,-,-,-,-
Nov 17,at Hobart,"L, 38-20",0,1,1,-,-,0,-,-,-,-,-,-,-,-
