GmSc,USG%,Date,TRB%,eFG%,ORtg,DRB%,TOV%,DRtg
3.7,11.3,1991-03-28,16.7,.500,153,10.9,0.0,139
16.7,12.8,1991-01-26,13.6,.625,149,9.1,9.7,106
1.7,11.6,1991-03-02,8.5,.500,136,0.0,0.0,134
9.0,13.0,1991-01-15,7.0,.429,125,10.4,0.0,111
5.8,11.5,1990-12-01,11.9,.333,130,9.5,16.1,103
-1.9,12.7,1991-03-22,15.0,.000,0,32.0,33.3,109
0.0,0.0,1991-02-22,0.0, , ,0.0, ,127
1.8,13.3,1990-11-02,3.1,.400,88,7.3,0.0,104
7.0,11.7,1991-01-22,0.0,.714,122,0.0,12.5,106
9.0,12.9,1991-04-06,18.0,.600,165,15.7,0.0,133
0.0,0.0,1990-11-21,0.0, , ,0.0, ,112
-1.4,12.9,1991-02-26,0.0,.000,0,0.0,0.0,112
-0.7,14.0,1991-03-20,0.0,.000,0,0.0,0.0,121
5.3,9.6,1990-11-03,13.5,1.000,200,14.0,0.0,99
0.0,0.0,1990-12-13,0.0, , ,0.0, ,120
-1.1,15.8,1990-11-23,0.0,.000,30,0.0,0.0,114
4.0,22.7,1991-01-08,14.7,.333,95,9.7,0.0,107
5.3,14.5,1991-03-23,12.8,.333,84,20.5,12.0,104
1.2,27.5,1991-04-20,10.8,.333,84,0.0,0.0,92
-1.1,29.2,1990-11-10,10.0,.143,46,0.0,12.5,108
5.5,7.8,1991-01-19,4.7,.667,119,9.3,25.0,110
2.0,8.7,1991-04-02,8.3,1.000,200,17.5,0.0,102
-3.9,11.4,1991-01-23,6.2,.000,13,5.7,40.0,108
2.9,50.1,1991-02-04,11.3,.167,75,24.0,0.0,78
-1.1,12.2,1991-03-26,7.6,.000,0,15.1,0.0,99
0.0,0.0,1991-04-21,0.0, , ,0.0, ,132
1.7,36.9,1990-12-19,0.0,1.000,200,0.0,0.0,109
8.6,16.2,1990-12-07,14.3,.600,141,12.5,0.0,124
3.2,17.9,1990-11-28,0.0,.400,104,0.0,0.0,101
7.1,17.4,1991-01-04,6.9,.667,139,6.6,18.8,100
1.6,9.2,1991-01-12,13.5,1.000,200,31.0,0.0,118
