MP,GmSc,G,Rk,USG%,Opp,TRB%,ORtg
28:00,6.8,46,46,13.1,VAN,23.6,87
17:00,5.3,39,39,19.7,GSW,25.1,68
21:00,4.2,40,40,15.1,DEN,24.2,87
19:00,1.3,71,71,9.4,CLE,25.3,56
18:00,3.2,70,70,5.0,SAS,10.7,142
21:00,2.3,68,68,6.5,DAL,11.3,98
25:00,5.7,65,65,11.7,DET,16.2,109
23:00,4.3,3,3,18.2,DAL,16.9,102
8:00,3.7,81,81,23.0,PHO,17.9,121
14:00,0.9,35,35,21.5,IND,19.3,68
16:00,2.4,56,56,16.4,BOS,25.0,82
23:00,7.6,43,43,16.3,SEA,8.6,124
19:00,7.3,15,15,17.2,ORL,11.0,129
20:00,6.0,31,31,23.2,GSW,20.0,103
24:00,0.5,52,52,13.0,SEA,15.8,64
21:00,8.7,67,67,11.3,WAS,27.7,127
17:00,-1.9,4,4,13.6,MIN,4.0,51
24:00,4.8,17,17,23.9,CHH,27.7,79
18:00,3.8,33,33,23.6,DEN,6.6,70
26:00,2.5,51,51,13.6,POR,15.0,81
26:00,12.0,72,72,14.7,VAN,28.6,125
20:00,3.8,24,24,20.3,CLE,12.0,90
19:00,1.4,32,32,15.5,LAL,13.1,79
21:00,4.6,61,61,21.2,SAC,22.2,87
27:00,5.7,66,66,18.3,POR,5.6,97
13:00,-0.6,37,37,3.5,HOU,4.5,89
14:00,3.5,42,42,14.2,DEN,4.4,137
18:00,1.7,2,2,9.1,LAL,6.9,105
20:00,6.3,50,50,12.5,BOS,20.2,112
20:00,1.3,73,73,9.5,LAL,12.5,87
22:00,2.4,28,28,10.7,MIN,12.0,97
17:00,1.1,78,78,5.8,CHI,12.6,129
