BLK%,GS,Age,eFG%
0.0,0,23-272, 
0.0,1,23-225,.500
0.0,0,24-015,.000
4.5,0,23-282,.750
0.0,0,23-313, 
3.2,1,23-217,.833
0.0,0,23-365,.400
0.0,1,23-235,.500
0.0,0,23-273,.500
0.0,0,23-348,.500
0.0,1,23-223,.333
2.7,1,23-232,.200
0.0,0,24-008,1.000
0.0,0,23-212,.600
0.0,0,23-331,.500
0.0,0,23-246,.000
0.0,1,23-219,.667
0.0,1,23-234,.500
3.3,0,23-279,.667
0.0,1,23-222,.200
0.0,0,23-316,1.000
0.0,0,23-268, 
0.0,0,23-292,.000
0.0,1,23-230,.667
0.0,0,23-290,.333
0.0,0,23-267,.500
0.0,0,23-244,.500
0.0,0,24-006,.667
3.4,0,23-350,.333
14.3,0,24-005,.000
3.9,1,23-238,.625
0.0,0,23-295,.000
0.0,0,23-330,.000
0.0,0,23-256,.875
0.0,0,23-285,.500
0.0,0,24-014, 
