Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Pablo Urena,DSL,37,5,9,3,0,0,7,0,1,3,9,0.243,0.311,0.324,0.635
Jordan Weems,Gre,92,8,21,5,0,0,13,0,0,15,31,0.228,0.349,0.283,0.631
Raiwinson Lameda,DSL,98,14,23,6,2,0,19,3,1,6,18,0.235,0.294,0.337,0.63
Travis Shaw,Por,211,29,37,6,0,6,40,2,1,50,64,0.175,0.338,0.289,0.627
Mauricio Dubon,GCL,21,2,6,1,0,0,4,1,0,0,5,0.286,0.286,0.333,0.619
Justin Henry,Paw,149,17,32,8,1,1,35,4,2,22,24,0.215,0.316,0.302,0.618
David Renfroe,Sal,107,10,24,8,0,2,30,1,1,6,23,0.224,0.263,0.355,0.618
Jordon Austin,GCL,55,5,10,3,1,0,6,2,0,13,27,0.182,0.333,0.273,0.606
Matty Johnson,3 Teams,132,14,30,6,2,0,27,8,3,14,21,0.227,0.297,0.303,0.6
Jhon Nunez,DSL,95,15,22,2,1,0,16,7,1,12,7,0.232,0.312,0.274,0.586
Keaton Briscoe,Gre,79,13,14,2,1,1,14,0,0,12,32,0.177,0.316,0.266,0.582
Boss Moanaroa,Gre,137,15,26,6,1,1,26,0,0,23,53,0.19,0.301,0.27,0.571
Jon Denney,GCL,33,2,6,1,0,0,2,2,0,8,15,0.182,0.357,0.212,0.569
Jose Vinicio,Gre,182,23,42,10,1,1,26,8,3,4,48,0.231,0.254,0.313,0.567
Cleuluis Rondon,Low,59,4,13,0,1,1,10,2,0,3,10,0.22,0.258,0.305,0.563
Luis Benoit,DSL,16,0,4,1,0,0,2,0,0,0,6,0.25,0.25,0.313,0.563
Jake Davies,GCL,75,7,16,5,0,1,11,1,1,3,12,0.213,0.241,0.32,0.561
Aneudis Peralta,GCL,68,10,16,5,0,0,20,0,0,2,13,0.235,0.25,0.309,0.559
Bryan Johns,SalGre,60,5,13,1,1,0,17,0,1,5,20,0.217,0.29,0.267,0.557
Felix Sanchez,SalGre,96,14,18,4,0,1,15,4,2,7,42,0.188,0.273,0.26,0.533
Jose Iglesias,Paw,56,6,11,2,0,1,12,1,1,3,5,0.196,0.233,0.286,0.519
Jantzen Witte,LowGCL,47,3,8,2,1,0,10,0,0,4,14,0.17,0.264,0.255,0.519
Ricardo Andujar,DSL,57,4,11,4,0,0,14,3,0,5,13,0.193,0.254,0.263,0.517
Kevin Heller,3 Teams,61,3,11,3,1,0,11,0,0,4,13,0.18,0.254,0.262,0.516
Juan Hernandez,DSL,46,3,9,1,0,0,4,2,1,6,3,0.196,0.288,0.217,0.506
