Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank
John Atkins 3 stars,DT,"Thomson, GAThomson","6'4""",300,5.16,3 stars,5.7,09/03/2011,2 videos,40.0,47.0
Collin Barber 2 stars,K,"Cartersville, GACartersville","6'2""",191,0.0,2 stars,5.3,06/11/2011,1 video, , 
Faton Bauta 3 stars,QB,"West Palm Beach, FLDwyer","6'3""",225,4.54,3 stars,5.7,11/14/2011,4 videos,15.0,79.0
Mark Beard 3 stars,OL,"Coffeyville, KSCoffeyville C.C.","6'4""",290,0.0,3 stars,5.6,12/14/2011, , , 
Josh Dawson 4 stars,DE,"Tucker, GATucker","6'4""",225,4.65,4 stars,5.8,02/01/2012,2 videos,20.0,22.0
Sheldon Dawson 3 stars,ATH,"Memphis, TNRidgeway","5'11""",169,4.4,3 stars,5.7,01/30/2012,4 videos,27.0,11.0
James Deloach 3 stars,DE,"Millen, GAJenkins County","6'3""",260,0.0,3 stars,5.6,06/13/2011,2 videos, ,68.0
Leonard Floyd 4 stars,DE,"Eastman, GADodge County","6'4""",215,0.0,4 stars,5.8,04/29/2011,1 video,13.0,12.0
Todd Gurley 4 stars,RB,"Tarboro, NCTarboro","6'1""",195,0.0,4 stars,6.0,01/13/2012,8 videos,5.0,3.0
Josh Harvey-Clemons 5 stars,ATH,"Valdosta, GALowndes","6'5""",208,0.0,5 stars,6.1,02/02/2012,11 videos,2.0,1.0
Quayvon Hicks 3 stars,RB,"Blackshear, GAPierce County","6'2""",245,0.0,3 stars,5.7,06/11/2011,4 videos,2.0,25.0
Jordan Jenkins 4 stars,DE,"Hamilton, GAHarris County","6'3""",245,4.67,4 stars,6.0,01/09/2012,7 videos,6.0,3.0
Keith Marshall 4 stars,RB,"Raleigh, NCMillbrook","5'11""",190,4.4,4 stars,6.0,12/06/2011,9 videos,2.0,4.0
Marshall Morgan 3 stars,K,"Miami, FLAmerican Heritage","6'3""",195,0.0,3 stars,5.5,01/31/2011,2 videos,7.0, 
Greg Pyke 3 stars,OL,"Baltimore, MDBoys Latin School","6'6""",315,5.0,3 stars,5.7,08/05/2011,2 videos,29.0,12.0
Ty Smith 3 stars,TE,"Moultrie, GAColquitt County","6'3""",228,0.0,3 stars,5.7,03/26/2011,3 videos,12.0,27.0
Jonathan Taylor 4 stars,DT,"Millen, GAJenkins County","6'4""",315,0.0,4 stars,5.9,06/13/2011,4 videos,7.0,5.0
John Theus 5 stars,OL,"Jacksonville, FLBolles","6'6""",292,5.2,5 stars,6.1,07/15/2011,11 videos,5.0,3.0
Blake Tibbs 3 stars,WR,"Lithonia, GAMartin Luther King","6'2""",185,0.0,3 stars,5.7,09/24/2011,3 videos,65.0,49.0
