Player,Team,Yr(s) with I-Cubs,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS
Juan Apodaca,Zulia,2012,0.176,20,51,6,9,0,1,0,5,7,16,1,0,0.271,0.216,0.487
Andres Blanco,Magallanes,2008-09,0.167,26,66,9,11,2,1,0,7,12,20,0,0,0.305,0.227,0.532
Henry Blanco,Margarita,2007,0.188,46,128,13,24,5,0,5,19,16,44,0,1,0.275,0.344,0.619
J.C. Boscan,Caracas,Cubs Signee,0.271,26,85,8,23,2,0,1,10,6,20,1,0,0.326,0.329,0.655
Tony Campana,Caracas,2011-12,0.231,16,52,7,12,1,1,0,3,6,12,8,2,0.322,0.288,0.61
Ronny Cedeno,Aragua,"2004-05, '07",0.268,21,82,11,22,2,0,2,7,6,14,0,1,0.318,0.366,0.684
Johermyn Chavez,Caribes,Cubs Signee,0.212,33,85,12,18,0,1,3,13,10,27,1,1,0.337,0.341,0.678
Robinson Chirinos,Magallanes,2010,0.158,6,19,1,3,0,0,0,0,4,9,0,0,0.304,0.158,0.462
Alberto Gonzalez,Margartia,Cubs Signee,0.301,21,73,6,22,3,1,0,6,4,5,2,1,0.342,0.37,0.712
Marwin Gonzalez,Caracas,2011,0.18,18,61,8,11,3,0,0,3,7,8,3,1,0.282,0.23,0.511
Jae-Hoon Ha,Aragua,Cubs Prospect,0.218,27,78,7,17,3,0,1,6,8,26,6,0,0.291,0.295,0.586
Josh Kroeger,Caracas,2007-08,0.286,41,147,15,42,5,0,2,17,28,24,5,5,0.404,0.361,0.765
Jackson Melian,Margarita,2003,0.237,39,114,18,27,5,0,4,23,27,30,1,3,0.404,0.386,0.79
Max Ramirez,Margarita,2011,0.307,41,127,17,39,7,0,2,9,18,19,1,0,0.409,0.409,0.819
Dave Sappelt,Margarita,2012,0.336,30,116,23,39,5,1,5,15,8,17,5,2,0.378,0.526,0.904
Luis Valbuena,Lara,2012,0.306,51,183,32,56,15,1,6,39,34,33,3,0,0.414,0.497,0.912
Josh Vitters,Caracas,2012,0.0,2,7,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0
Ty Wright,Aragua,2010-12,0.247,20,73,6,18,3,2,1,4,0,13,0,0,0.257,0.384,0.64
