Shots,Team,iCorsi/60,G/60,IGP
404,Tampa Bay,12.29,0.97,30.0
59,NY Rangers,4.71,0.13,6.5
120,Winnipeg,8.38,0.21,8.8
78,Carolina,8.59,0.16,6.6
169,Pittsburgh,6.92,0.13,5.0
58,NY Rangers,5.77,0.12,4.8
65,Edmonton,4.34,0.12,5.6
225,Philadelphia,9.68,0.60,28.8
218,Tampa Bay,8.12,0.20,7.5
230,Philadelphia,15.24,0.57,24.2
101,Nashville,5.76,0.05,2.4
357,Winnipeg,12.81,0.56,25.7
449,Boston,17.73,0.97,31.8
324,Ottawa,15.30,0.87,33.7
248,Edmonton,12.50,0.66,30.3
248,Buffalo,9.74,0.23,8.7
274,Pittsburgh,11.74,0.19,5.9
132,St. Louis,9.17,0.38,29.6
424,San Jose,14.04,0.87,33.6
136,NY Rangers,7.05,0.07,3.3
404,Arizona,16.13,0.92,35.8
107,Philadelphia,6.54,0.16,6.5
161,Nashville,10.81,0.97,38.6
238,Vancouver,10.01,0.25,12.6
180,Calgary,8.37,0.43,16.5
201,New Jersey,10.19,0.61,23.2
373,Carolina,16.57,0.60,33.8
360,Philadelphia,14.23,0.86,30.4
396,NY Islanders,15.26,1.23,50.5
250,Detroit,12.50,0.79,37.7
87,Dallas,7.59,0.10,5.3
314,Boston,16.40,0.54,32.7
114,Calgary,6.93,0.12,5.9
167,Detroit,7.34,0.10,4.0
395,Carolina,19.96,0.97,29.8
257,Florida,11.85,0.56,23.5
160,Montreal,7.32,0.62,20.8
245,Philadelphia,10.06,0.12,4.9
298,St. Louis,12.41,0.77,33.0
203,Winnipeg,9.53,0.64,27.8
290,Toronto,11.49,0.22,9.6
340,Toronto,16.13,1.01,34.0
379,Nashville,11.20,0.25,10.7
223,NY Islanders,12.19,0.40,30.2
363,Ottawa,14.59,0.48,19.7
302,Philadelphia,12.94,0.86,38.7
238,Pittsburgh,10.52,0.89,32.4
348,Boston,13.11,0.15,5.8
269,NY Islanders,11.38,0.49,20.2
62,Vancouver,7.13,0.05,2.6
111,Edmonton,5.15,0.07,4.0
307,Calgary,13.24,0.82,36.3
228,Detroit,10.54,0.78,26.7
