Date,TOV%,GmSc,Opp,BLK%,TRB%,eFG%,STL%
1995-03-02, ,-0.2,MIL,0.0,17.1, ,0.0
1994-11-29,0.0,7.5,CHH,0.0,16.5,.625,0.0
1994-12-02,0.0,4.8,CHI,0.0,13.6,.500,2.7
1994-12-27,0.0,-1.4,HOU,0.0,6.8,.167,0.0
1994-11-09,0.0,-0.4,PHO,0.0,0.0,.000,0.0
1994-11-15,32.6,12.5,BOS,7.2,18.1,.875,4.6
1995-02-23,100.0,-0.4,DAL,0.0,0.0, ,10.8
1994-12-10,11.1,1.7,ORL,6.5,8.7,.375,0.0
1995-02-17,0.0,2.6,DAL,7.8,6.5,.500,6.1
1994-12-22,0.0,7.2,UTA,3.3,8.8,.833,5.0
1995-01-30,0.0,2.0,MIA,0.0,12.5,.333,0.0
1994-11-18,0.0,5.4,MIL,4.9,11.5,.286,3.3
1995-02-06,0.0,6.4,PHI,16.6,13.9,1.000,5.6
1995-01-25,0.0,-2.2,CHH,0.0,9.8,.000,0.0
1994-12-30,25.0,1.4,CLE,12.2,8.6,.333,4.4
1994-12-09,25.8,3.8,NYK,3.4,14.3,.500,4.1
1995-01-07,0.0,3.6,NJN,0.0,13.2,.500,2.8
1995-01-10,0.0,2.3,WSB,32.0,0.0,1.000,0.0
1995-02-24,0.0,4.6,WSB,0.0,26.3,1.000,5.8
1995-04-07,0.0,2.7,IND,0.0,0.0,1.500,0.0
1995-02-18,0.0,-1.2,SAS,0.0,18.8,.000,0.0
1994-12-16,33.8,2.7,CHI,12.2,21.3,.200,2.8
1994-11-07,0.0,10.1,UTA,5.6,10.8,.500,3.0
1994-12-06,0.0,-0.2,NJN,3.1,13.4,.200,0.0
1995-02-27, ,0.2,SAC,0.0,0.0, ,6.1
1995-01-20,0.0,1.6,IND,5.0,6.6,.125,1.8
1995-04-23,25.0,1.4,IND,4.6,10.4,.333,3.5
1994-11-22,0.0,6.2,PHI,0.0,12.1,.583,0.0
1995-02-04,0.0,3.2,DET,6.4,17.4,.500,0.0
1995-03-03,50.0,1.3,DET,12.8,5.5,.500,0.0
1994-12-29,12.5,7.8,SAS,6.8,5.0,.643,3.9
1994-12-23,0.0,8.1,DET,2.5,14.5,.625,1.8
1995-01-03,0.0,2.6,POR,0.0,10.9,.500,2.7
1995-03-30,0.0,-0.2,GSW,0.0,11.8,.000,12.1
1995-01-18,0.0,-0.8,PHI,0.0,20.0,.000,0.0
1995-02-21,0.0,3.3,CHI,7.6,7.3,.667,0.0
