YEAR,GS,PPF,G,oppOBP,AVG
2013,32,101,32,0.323,0.249
2013,0,100,49,0.315,0.251
2013,21,100,21,0.324,0.277
2013,26,100,31,0.309,0.233
2013,32,100,32,0.321,0.238
2013,20,101,23,0.325,0.258
2013,32,103,32,0.306,0.231
2013,24,96,24,0.313,0.276
2013,32,101,33,0.316,0.281
2013,30,100,30,0.31,0.228
2013,21,101,21,0.307,0.245
2013,30,113,30,0.306,0.269
2013,0,97,70,0.314,0.216
2013,0,99,70,0.314,0.247
2013,18,106,18,0.306,0.284
2013,30,98,30,0.309,0.252
2013,32,97,32,0.317,0.239
2013,31,115,31,0.309,0.253
2013,30,100,30,0.317,0.275
2013,31,94,31,0.321,0.242
2013,23,100,34,0.321,0.243
2013,20,101,20,0.317,0.267
2013,17,96,17,0.312,0.243
2013,23,98,26,0.32,0.284
2013,0,102,74,0.318,0.223
2013,15,104,15,0.31,0.234
2013,25,99,27,0.32,0.285
2013,25,104,26,0.31,0.261
2013,16,99,35,0.315,0.225
2013,29,100,29,0.32,0.3
2013,14,102,17,0.318,0.239
2013,31,100,31,0.318,0.297
2013,32,95,32,0.317,0.311
2013,28,99,30,0.319,0.243
2013,32,98,32,0.314,0.248
2013,8,96,34,0.309,0.223
2013,18,98,18,0.316,0.249
2013,31,99,32,0.307,0.258
2013,27,96,27,0.318,0.252
2013,2,100,34,0.322,0.268
2013,29,97,32,0.319,0.222
2013,30,104,31,0.312,0.268
2013,33,94,33,0.322,0.22
2013,29,101,32,0.318,0.256
2013,31,102,31,0.307,0.263
2013,0,100,48,0.316,0.249
2013,28,100,28,0.31,0.234
2013,31,105,31,0.314,0.232
2013,23,94,23,0.321,0.226
2013,17,95,17,0.314,0.237
2013,19,102,21,0.303,0.293
2013,33,105,33,0.312,0.255
2013,30,97,30,0.309,0.242
2013,33,101,33,0.317,0.259
2013,20,97,20,0.315,0.257
2013,33,102,33,0.32,0.276
2013,32,105,32,0.308,0.24
2013,20,99,30,0.323,0.318
2013,27,99,27,0.313,0.291
2013,29,101,32,0.313,0.27
2013,34,101,34,0.32,0.251
2013,22,93,22,0.322,0.274
2013,15,100,34,0.322,0.237
2013,20,97,28,0.314,0.317
2013,32,103,32,0.316,0.222
2013,24,93,32,0.321,0.281
2013,19,95,19,0.313,0.253
2013,32,106,32,0.312,0.259
2013,0,98,75,0.324,0.177
2013,16,101,16,0.315,0.199
2013,17,102,17,0.315,0.314
2013,23,99,23,0.318,0.272
2013,24,97,24,0.317,0.257
2013,10,107,43,0.316,0.241
2013,0,114,51,0.312,0.25
2013,0,96,68,0.318,0.201
2013,28,95,28,0.315,0.182
2013,30,103,30,0.31,0.207
2013,23,97,29,0.308,0.261
2013,25,102,30,0.311,0.318
2013,25,97,37,0.316,0.272
2013,32,103,32,0.311,0.258
2013,31,106,31,0.312,0.261
2013,20,114,20,0.313,0.278
2013,33,100,33,0.309,0.195
2013,17,95,47,0.321,0.269
2013,26,100,32,0.32,0.26
2013,16,102,16,0.323,0.305
2013,0,112,75,0.316,0.293
2013,18,99,23,0.324,0.231
2013,31,101,31,0.308,0.234
2013,0,101,63,0.316,0.219
2013,32,100,32,0.321,0.272
2013,32,107,32,0.31,0.264
2013,32,94,32,0.319,0.226
2013,34,101,34,0.319,0.242
2013,29,100,30,0.321,0.293
2013,13,100,13,0.317,0.271
2013,26,98,26,0.314,0.224
2013,14,94,20,0.307,0.291
2013,0,104,49,0.309,0.232
2013,9,96,33,0.312,0.242
2013,34,102,34,0.311,0.248
2013,33,97,33,0.314,0.246
2013,14,98,18,0.321,0.241
2013,22,99,31,0.322,0.297
2013,22,100,36,0.321,0.289
2013,18,99,18,0.318,0.259
