3B,SB,AB
1,0,150
0,0,30
1,15,239
1,2,235
6,28,269
0,3,117
2,14,240
1,7,96
0,0,21
0,0,24
0,6,118
0,4,64
1,4,32
0,0,35
0,1,158
2,10,276
0,1,102
2,7,114
0,0,0
0,0,67
2,6,201
0,1,158
0,0,92
4,28,269
1,1,142
1,4,124
0,0,14
0,0,43
1,9,194
0,1,19
0,23,194
1,3,65
2,11,191
2,6,128
1,0,234
4,6,245
0,0,37
3,2,250
0,0,15
1,3,162
0,5,142
0,1,32
1,3,86
1,6,163
0,2,34
0,0,8
0,3,93
0,3,42
0,0,10
0,0,3
5,8,191
1,3,152
0,1,86
0,1,99
0,7,147
0,0,29
0,0,259
0,1,82
0,4,87
0,0,58
1,2,115
2,14,276
0,0,30
0,0,13
0,0,15
0,0,8
0,6,219
0,2,106
0,14,241
1,0,131
0,0,3
0,6,106
0,0,67
7,16,186
0,0,33
0,0,4
2,3,139
0,1,118
5,4,241
2,1,210
0,1,92
1,1,17
0,0,7
0,3,202
0,0,38
5,16,271
1,0,146
1,0,74
1,2,272
1,27,260
0,3,80
0,8,143
0,21,182
0,4,63
4,11,197
0,0,11
2,5,137
0,1,18
4,22,212
0,0,82
0,4,45
1,10,169
1,2,248
0,0,22
0,3,157
0,0,46
0,0,10
