Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Feb 9,at Greensboro,"L, 2-1",-,-,-,-,-,-,-,-,-,-,-
Feb 9,at Greensboro,"W, 7-4",0,0,0,-,-,-,0,-,-,-,-
Feb 18,at N.C. Wesleyan,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Feb 19,at Averett,"L, 5-4",0,0,0,-,-,-,0,-,-,-,-
Feb 22,Me.-Presque Isle,"W, 12-0",-,-,-,-,-,-,-,-,-,-,-
Feb 22,Me.-Presque Isle,"W, 15-0",0,0,0,-,-,-,0,-,-,-,-
Feb 23,Oneonta St.,"W, 8-2",-,-,-,-,-,-,-,-,-,-,-
Feb 25,Southern Virginia,"W, 4-2",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Lynchburg,"W, 11-6",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Lynchburg,"W, 12-4",0,0,0,-,-,-,0,-,-,-,-
Mar 9,Randolph-Macon,"L, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 9,Randolph-Macon,"L, 5-1",-,-,-,-,-,-,-,-,-,-,-
Mar 10,Marymount (Va.),"W, 8-4",0,0,0,-,-,-,0,-,-,-,-
Mar 12,Stevenson, ,-,-,-,-,-,-,-,-,-,-,-
Mar 15,Guilford,"L, 13-5",-,-,-,-,-,-,-,-,-,-,-
Mar 15,Guilford,"L, 4-2",0,0,0,-,-,-,0,-,-,-,-
Mar 20,Tufts, ,-,-,-,-,-,-,-,-,-,-,-
Mar 21,at Bridgewater,"W, 5-2",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Roanoke,"W, 3-0",-,-,-,-,-,-,-,-,-,-,-
Mar 22,at Roanoke,"W, 7-0",0,0,0,-,-,-,0,-,-,-,-
Mar 27,Eastern Mennonite,"L, 7-4",-,-,-,-,-,-,-,-,-,-,-
Apr 1,at Eastern Mennonite,"W, 17-10",-,-,-,-,-,-,-,-,-,-,-
Apr 2,Bridgewater,"L, 10-9",0,0,0,-,-,-,0,-,-,-,-
Apr 12,at Hampden-Sydney,"W, 6-5",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Hampden-Sydney,"L, 9-8",0,0,0,-,-,-,0,-,-,-,-
Apr 16,Shenandoah,"W, 6-3",0,0,0,-,-,-,0,-,-,-,-
Apr 16,Shenandoah,"L, 15-4",-,-,-,-,-,-,-,-,-,-,-
Apr 17,Emory & Henry,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 17,Emory & Henry,"W, 13-4",-,-,-,-,-,-,-,-,-,-,-
Apr 20,at Virginia Wesleyan,"L, 3-2",0,0,0,-,-,-,0,-,-,-,-
Apr 20,at Virginia Wesleyan,"W, 9-5",-,-,-,-,-,-,-,-,-,-,-
Apr 24,vs. Bridgewater,"L, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 25,vs. Shenandoah,"L, 6-3",0,0,0,-,-,-,0,-,-,-,-
