H,SF,Team,SB,3B,HR,OPS,2B,GIDP,BB
56,4,WSH,2,1,3,0.593,11,2,20
20,1,NYM,0,0,1,0.548,3,3,12
131,1,COL,4,1,21,0.801,22,7,15
25,0,PIT,0,0,3,0.61,6,2,5
95,6,ARI,0,0,11,0.662,14,18,51
9,0,CIN,0,0,0,0.766,5,1,5
19,1,SD,0,0,1,0.693,8,1,18
32,1,SF,0,0,3,0.649,4,1,7
6,0,LAD,0,0,0,0.411,0,4,6
16,0,PHI,0,0,2,0.7,4,3,3
93,6,LAD,0,1,10,0.682,17,11,45
34,1,ATL,1,0,1,0.739,8,4,14
16,1,SF,0,0,1,0.539,7,4,5
15,1,MIA,0,0,4,0.642,2,2,5
29,2,NYM,0,0,6,0.68,7,1,13
58,3,ARI,0,0,1,0.69,11,7,8
4,0,PHI,0,0,0,0.742,1,0,1
0,0,MIA,0,0,0,0.25,0,1,1
42,2,PHI,0,0,9,0.666,7,11,18
2,0,CHC,0,0,0,0.633,1,0,0
37,1,LAD,0,0,4,0.631,8,5,10
87,2,PIT,2,0,15,0.652,11,13,29
78,1,WSH,0,0,16,0.777,9,12,15
31,0,MIL,0,1,4,0.52,7,2,13
146,8,MIL,9,6,18,0.795,25,16,46
1,0,SF,0,0,0,0.347,0,0,0
