TOI,IAP,GP,IPP,G,Points/60
3200:54,46.3,272,66.3,19,1.18
4350:01,40.7,316,71.4,58,1.86
5781:48,25.6,348,32.7,14,0.67
6682:52,27.1,368,34.0,21,0.93
5497:53,26.7,334,36.4,22,0.89
3032:12,46.1,260,68.0,28,1.72
3653:23,36.1,261,71.1,58,1.94
4474:41,19.9,262,29.0,16,0.68
4342:24,33.0,330,69.7,68,1.78
4755:38,50.2,330,70.4,49,2.16
5578:14,39.7,366,74.4,91,2.10
4708:39,53.7,333,75.1,38,1.69
4118:47,36.9,352,67.0,53,1.72
3090:28,42.4,279,70.3,33,1.61
5262:25,18.2,329,24.4,13,0.58
3530:18,36.7,307,64.1,35,1.39
4380:54,49.0,340,75.0,52,2.05
3704:14,26.3,227,34.2,12,0.84
4141:24,41.3,306,67.4,48,1.80
4748:09,25.0,300,31.6,13,0.78
6595:41,29.4,361,33.3,10,0.76
5908:15,24.9,356,32.8,19,0.80
3242:54,17.9,244,20.5,3,0.44
5314:19,63.0,375,80.8,55,2.81
5100:31,40.3,375,71.6,76,2.05
4393:50,28.7,273,34.7,10,0.79
6937:26,31.5,362,36.7,17,1.03
6596:48,27.0,367,40.5,35,0.95
3315:57,36.9,324,64.3,23,0.98
3189:13,23.9,205,30.4,9,0.79
3490:14,25.0,226,38.6,19,0.93
3941:36,52.0,305,76.8,31,1.46
4016:36,46.4,333,67.0,23,1.12
5301:36,29.8,320,36.6,16,0.97
3995:10,33.7,291,66.3,63,1.92
4857:24,41.7,345,69.4,50,1.54
5388:59,45.1,368,76.0,76,2.08
5201:43,22.8,327,27.5,9,0.60
4050:57,28.3,281,36.4,15,0.99
3572:41,27.5,241,30.8,4,0.62
5702:32,21.0,334,30.9,26,0.85
3534:41,38.8,287,73.0,52,1.88
4540:47,42.4,367,75.8,55,1.65
4499:26,13.6,293,19.8,11,0.47
4879:44,45.8,373,71.9,50,1.70
3825:18,41.9,292,71.2,47,1.79
5122:31,24.0,329,29.5,12,0.75
4746:49,40.8,367,74.9,61,1.69
5391:26,29.3,333,36.7,16,0.88
5074:26,34.0,355,71.0,97,2.20
4141:33,44.2,320,75.8,52,1.81
3958:02,26.6,268,35.2,11,0.68
3516:56,46.2,262,84.4,61,2.30
3598:13,26.4,250,33.8,11,0.83
4225:03,41.5,338,73.3,56,1.83
3191:59,26.5,169,33.8,10,0.86
4873:01,39.7,372,69.5,71,2.04
5540:06,23.1,329,32.8,18,0.66
4869:02,30.1,308,37.5,13,0.81
4076:02,43.3,351,68.5,32,1.28
6174:22,18.3,356,23.9,14,0.58
4383:15,40.9,372,68.2,36,1.23
4736:49,23.8,312,31.4,13,0.68
3201:02,41.0,243,71.8,36,1.57
4277:29,25.5,298,30.1,7,0.65
3743:16,39.2,336,71.5,42,1.49
3221:53,36.9,307,73.9,41,1.53
3105:15,36.3,245,74.3,43,1.62
5083:55,29.4,362,32.4,6,0.78
5002:10,33.3,311,39.5,10,0.77
3121:05,34.6,264,72.9,41,1.50
4973:51,20.1,314,23.9,7,0.53
3945:54,52.3,305,74.8,35,1.76
4317:16,52.7,298,80.8,67,2.68
3105:09,34.2,238,72.0,61,2.24
4751:46,49.8,333,75.9,64,2.35
4061:01,23.8,297,32.5,13,0.72
3669:58,40.1,301,67.3,40,1.62
3354:12,36.8,238,59.7,33,1.54
4083:21,37.8,316,70.6,59,1.87
3628:54,28.3,232,34.6,8,0.73
4306:52,39.6,290,73.3,63,1.91
5582:38,38.3,350,78.3,92,1.93
5509:04,40.1,355,77.8,107,2.41
4376:23,40.3,342,68.9,56,1.85
4282:27,28.9,257,35.8,14,1.01
4322:32,21.0,262,24.2,5,0.53
3194:43,37.0,354,58.7,20,1.01
4437:06,16.0,280,21.7,10,0.51
4866:26,44.4,344,68.9,48,1.66
4877:13,39.6,344,73.2,89,2.39
3187:10,35.1,277,67.9,43,1.68
4404:10,42.9,334,67.4,43,1.61
3368:28,29.7,195,31.7,2,0.57
5203:01,23.1,326,29.6,11,0.58
3537:16,33.3,318,61.0,34,1.27
4623:12,45.7,319,70.7,46,1.69
3752:44,43.6,305,66.9,38,1.74
3313:03,40.9,245,71.8,46,1.94
4666:18,36.9,359,65.7,68,1.99
3974:29,35.2,328,60.7,37,1.33
4694:19,23.7,279,28.5,10,0.75
4293:01,51.5,338,67.5,32,1.89
4093:12,43.6,322,70.5,40,1.54
4049:07,41.3,326,77.2,60,1.91
3178:36,27.2,183,32.0,6,0.76
5065:54,14.9,293,24.5,20,0.60
3228:52,19.4,256,23.1,4,0.46
4307:06,36.0,360,68.7,49,1.43
4153:47,22.8,278,32.4,14,0.68
3717:10,39.2,285,71.0,56,2.02
3653:13,35.9,285,62.8,42,1.61
4825:47,26.2,306,33.0,14,0.85
3948:24,37.6,324,65.6,44,1.57
4383:07,19.9,288,22.4,5,0.60
3499:01,40.2,299,70.9,39,1.54
5321:15,54.8,371,73.4,47,2.09
3438:16,23.0,234,28.7,7,0.61
3985:26,44.9,343,65.4,26,1.25
3306:54,37.7,277,69.2,50,2.00
5488:29,23.6,336,26.6,6,0.58
5859:02,21.7,349,29.8,21,0.79
3638:48,41.7,333,69.4,30,1.24
4222:34,46.2,342,69.0,33,1.42
3129:52,42.2,310,71.1,26,1.23
5256:35,21.6,336,28.9,14,0.64
5309:47,45.1,362,73.5,72,2.10
3997:07,50.3,296,75.7,44,1.97
4228:41,43.4,343,69.3,43,1.63
4318:20,42.8,319,69.3,44,1.60
3817:30,40.2,306,75.6,45,1.51
3720:32,28.8,224,37.8,14,0.95
3870:33,40.0,335,64.0,24,0.99
3720:08,42.1,266,74.8,52,1.92
6352:25,23.4,364,33.2,23,0.74
4952:41,22.5,297,34.6,23,0.80
4255:26,38.1,349,67.7,46,1.48
5279:10,29.1,338,35.8,12,0.73
4574:13,37.6,375,66.5,50,1.51
3956:56,23.8,259,29.7,10,0.77
4166:42,21.1,275,24.2,4,0.45
