Team,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,SH,SF,GIDP,OBP,SLG,OPS
Mississippi,0.266,139,4620,609,1228,238,40,63,551,428,920,141,55,60,43,100,0.336,0.376,0.711
Jackson,0.261,139,4641,603,1210,251,48,92,564,430,894,109,44,33,44,113,0.329,0.395,0.724
Birmingham,0.259,140,4702,604,1216,260,42,96,560,441,966,106,49,43,45,106,0.327,0.393,0.72
Mobile,0.258,137,4550,610,1175,242,37,97,572,456,1064,56,37,55,49,99,0.331,0.392,0.723
Chattanooga,0.257,138,4647,608,1192,256,60,108,575,431,1013,78,50,63,42,99,0.326,0.407,0.733
Tennessee,0.254,139,4669,605,1185,249,25,100,566,463,958,83,34,49,30,96,0.327,0.382,0.709
Pensacola,0.251,140,4628,569,1163,228,30,101,529,437,1032,55,47,58,42,111,0.319,0.379,0.698
Huntsville,0.248,140,4511,609,1118,214,32,83,555,562,952,116,54,84,39,110,0.335,0.365,0.7
Montgomery,0.246,140,4597,566,1131,239,28,101,528,471,997,102,42,29,47,114,0.324,0.376,0.7
Jacksonville,0.246,140,4623,618,1135,221,35,76,572,546,1026,98,36,52,49,100,0.331,0.358,0.689
