GmSc,DRB%,GS,Rk,USG%,G,Date,AST%
-0.8,22.5,1,18,4.1,18,1997-12-13,0.0
4.1,15.8,1,51,7.1,51,1998-03-03,0.0
3.6,26.1,1,63,14.4,63,1998-03-25,0.0
-2.1,0.0,1,19,10.5,19,1997-12-15,0.0
1.9,43.8,0,42,16.0,42,1998-02-12,21.3
3.7,41.7,0,66,15.8,66,1998-04-06,0.0
4.2,8.8,0,27,1.6,27,1998-01-04,0.0
1.4,16.0,0,68,5.3,68,1998-04-10,6.6
5.9,18.2,1,25,7.0,25,1997-12-28,8.0
3.2,10.9,1,62,8.0,62,1998-03-24,0.0
1.3,11.5,0,8,6.9,8,1997-11-18,0.0
5.1,29.1,0,48,7.3,48,1998-02-26,0.0
5.5,27.5,1,64,2.0,64,1998-03-27,0.0
1.7,12.7,0,71,14.5,71,1998-04-19,11.2
1.8,21.4,0,7,15.2,7,1997-11-16,0.0
10.9,20.6,1,13,8.6,13,1997-12-03,3.7
4.5,11.8,1,24,14.0,24,1997-12-26,5.6
11.0,14.3,1,16,15.0,16,1997-12-09,9.8
1.7,0.0,0,47,16.2,47,1998-02-22,0.0
4.0,34.7,0,53,9.9,53,1998-03-07,0.0
3.2,23.6,1,10,14.0,10,1997-11-26,18.0
3.6,10.7,0,6,12.1,6,1997-11-14,0.0
2.6,6.8,0,33,5.2,33,1998-01-21,6.7
0.0,0.0,0,26,0.0,26,1998-01-02,0.0
1.2,15.6,0,37,10.0,37,1998-01-31,0.0
12.7,0.0,1,55,16.6,55,1998-03-10,8.2
14.3,17.2,1,52,11.1,52,1998-03-05,0.0
2.9,7.1,0,4,9.0,4,1997-11-08,8.1
4.2,4.1,1,9,6.1,9,1997-11-20,10.5
1.3,8.8,0,31,13.6,31,1998-01-16,8.9
