SB,AB,2B,Team,OPS,SF,3B,AVG,G
2,7,0,CAM,.286,0,0,.143,24
0,1,0,TAB,.500,0,0,.000,1
1,217,2,CHI,.799,1,3,.258,85
16,378,14,LAR,.688,3,5,.267,102
0,54,0,OAX,.399,0,0,.185,38
0,205,7,TAB,.595,2,0,.244,75
18,382,29,SLT,.969,4,1,.351,103
2,352,20,PUE,.710,0,3,.276,95
0,20,0,OAX,.650,0,0,.250,6
1,310,15,CAM,.778,3,0,.261,97
1,109,7,VAQ,.752,2,0,.257,33
0,23,1,MVA,.511,0,0,.217,18
13,276,20,PUE,.927,7,0,.337,75
12,385,21,QR,.751,2,3,.299,99
2,356,21,MXO,.894,7,3,.289,100
0,14,0,SLT,.481,0,0,.214,10
3,371,25,LAR,.960,4,1,.361,104
0,8,0,OAX,.236,1,0,.125,8
1,41,4,TIJ,.684,0,0,.268,10
4,262,10,TIJ,.598,2,0,.214,74
0,159,5,MTY,.627,1,0,.245,61
3,322,19,SLT,.784,2,4,.295,77
4,178,14,MIN,.788,0,1,.331,48
1,14,0,VAQ,.571,0,0,.286,8
3,128,6,QR,.692,0,1,.250,36
0,7,1,VAQ,.429,0,0,.143,8
7,309,15,YUC,.772,3,2,.314,93
0,1,0,TIJ,.000,0,0,.000,1
5,397,21,VRA,.742,1,2,.280,108
4,159,9,OAX,.784,4,1,.283,45
9,379,30,CHI,.891,2,5,.319,104
1,224,7,QR,1.010,0,0,.339,56
0,113,6,LAR,.842,0,0,.283,30
6,55,3,MXO,.844,1,0,.309,45
1,30,1,VRA,.252,0,0,.067,9
0,131,5,CHI,.547,0,0,.206,45
7,226,10,LAR,.623,3,0,.274,66
0,36,1,TAB,.532,0,0,.222,25
2,378,25,YUC,.800,2,2,.325,106
2,25,0,OAX,.433,0,0,.120,7
1,234,10,QR,.840,0,0,.308,66
0,295,23,MXO,.948,2,0,.315,76
1,134,6,PUE,.781,3,0,.343,47
2,163,6,LAR,.603,0,0,.252,65
10,157,3,CHI,.740,2,2,.312,54
0,27,0,MXO,.311,0,0,.111,18
0,220,17,VRA,.917,4,0,.345,75
0,80,9,YUC,.617,2,0,.238,38
26,409,32,MVA,.919,1,6,.333,103
8,113,4,MIN,.604,0,1,.257,52
3,210,11,TIJ,.648,2,4,.267,75
0,56,5,MIN,.804,0,0,.286,15
2,142,5,PUE,.536,0,0,.232,56
4,89,5,QR,.627,0,0,.258,59
0,262,19,PUE,.827,3,0,.332,72
0,300,15,VAQ,.818,6,0,.260,93
13,368,15,MVA,.754,11,1,.277,105
2,290,13,MTY,.748,6,0,.252,83
0,0,0,MXO,--,0,0,--,2
2,232,9,CHI,.648,2,0,.259,69
0,101,4,MIN,.685,0,0,.238,55
2,233,14,MTY,.794,1,1,.292,70
10,368,26,MIN,.856,3,5,.318,105
3,378,19,TIJ,.834,4,0,.310,107
9,294,16,MTY,.778,2,1,.316,76
0,365,22,CHI,.863,2,0,.301,103
0,146,4,MVA,.653,1,1,.260,59
6,141,11,MTY,.765,1,0,.270,39
6,188,14,MXO,1.110,1,1,.420,52
1,335,15,PUE,.657,3,1,.269,89
3,240,14,OAX,.633,2,1,.254,83
3,58,3,MIN,.712,1,0,.224,16
2,55,2,MTY,.499,1,0,.200,15
10,396,15,TIJ,.794,1,0,.295,104
3,91,0,OAX,.417,0,1,.176,49
4,348,15,TAB,.799,4,0,.293,97
0,50,0,MVA,.636,0,1,.240,54
14,356,21,TAB,.778,2,2,.289,98
9,287,20,SLT,.853,1,2,.314,77
6,301,12,MXO,.887,1,8,.349,78
1,137,7,QR,.810,0,0,.307,43
10,253,9,VAQ,.747,2,5,.308,81
3,173,8,CHI,.796,1,0,.335,43
0,173,10,MTY,1.002,1,0,.341,50
0,49,1,OAX,.566,0,0,.224,19
0,55,1,TIJ,.645,0,1,.236,29
0,5,0,MVA,.533,0,0,.200,6
1,326,13,MXO,.822,0,2,.298,92
22,366,22,CAM,1.101,1,4,.350,105
1,197,12,LAR,.729,1,2,.249,66
5,312,14,VRA,.798,1,1,.260,99
0,271,22,SLT,.978,4,1,.310,85
0,35,0,CAM,.110,0,0,.029,10
0,181,11,SLT,.610,3,0,.238,68
0,51,0,MIN,.462,0,1,.196,44
1,297,10,TAB,.708,3,2,.300,88
11,344,9,TAB,.635,0,4,.250,101
0,44,8,MTY,.943,1,1,.341,14
1,206,9,MIN,.571,1,1,.238,82
0,80,4,MXO,.735,0,0,.288,32
0,42,0,OAX,.659,0,0,.286,10
1,47,0,VAQ,.695,0,0,.234,13
0,53,2,VAQ,.778,0,0,.358,26
19,395,22,MTY,.834,4,1,.322,96
3,52,0,OAX,.438,1,0,.192,14
0,242,12,YUC,.836,4,2,.314,77
1,311,21,VAQ,.692,2,0,.273,90
0,378,17,TAB,.707,2,4,.294,102
2,279,18,YUC,.773,2,0,.312,72
3,112,4,MVA,.836,0,2,.366,29
3,196,4,MIN,.586,1,1,.230,80
0,318,14,PUE,.701,2,0,.283,89
3,397,21,TAB,.866,7,0,.358,104
1,274,15,CHI,.688,0,0,.285,84
1,214,14,MTY,.743,1,0,.266,68
0,104,4,OAX,.798,0,0,.279,28
1,258,16,VAQ,.865,4,0,.283,79
16,328,17,QR,.814,2,1,.314,97
0,4,0,QR,.500,0,0,.250,8
8,261,10,TAB,.651,2,1,.253,73
9,280,20,TIJ,.737,2,7,.271,78
2,196,10,CAM,.629,1,3,.199,77
7,331,12,PUE,.827,2,2,.341,90
5,146,2,PUE,.568,0,1,.240,74
0,146,11,MXO,.851,2,0,.295,55
0,24,0,TAB,.250,0,0,.125,22
1,304,16,VRA,.645,3,1,.227,103
1,127,7,TIJ,.679,0,1,.252,42
1,122,1,OAX,.412,0,0,.156,62
0,157,6,MXO,.777,5,1,.280,69
0,34,1,MIN,.436,0,0,.147,19
8,338,11,MVA,.608,3,1,.269,104
0,0,0,MXO,--,0,0,--,5
0,87,4,TIJ,.601,1,0,.241,31
9,222,9,MTY,.676,0,0,.266,61
0,7,1,TAB,1.127,0,0,.429,3
1,84,1,VAQ,.690,1,1,.274,30
1,214,12,QR,.734,2,0,.280,55
6,319,20,VAQ,.815,1,1,.320,92
0,98,2,VRA,.620,0,0,.235,52
2,67,2,TIJ,.621,1,0,.254,39
1,98,5,VAQ,.706,2,0,.224,25
0,111,3,OAX,.538,1,0,.198,59
9,387,13,MIN,.720,1,2,.305,93
22,336,16,YUC,.774,4,2,.289,88
1,390,33,MTY,.983,10,1,.321,105
5,415,23,MXO,.915,5,6,.364,103
21,390,25,OAX,.933,7,2,.359,102
0,45,2,SLT,.580,0,0,.222,29
0,6,0,CAM,.143,0,0,.000,6
0,24,2,CHI,.926,0,0,.333,13
1,104,6,CHI,.657,2,0,.250,48
0,269,12,VAQ,.686,1,0,.275,92
1,65,2,MIN,.528,0,0,.200,40
0,0,0,MTY,--,0,0,--,2
2,86,2,TAB,.674,0,1,.291,53
1,369,16,CHI,.838,2,0,.325,97
3,68,0,YUC,.550,1,2,.206,26
0,107,5,PUE,.526,0,0,.196,30
0,119,4,MVA,.588,1,0,.244,56
0,119,4,TIJ,.698,0,0,.269,58
24,433,34,VAQ,.899,4,2,.330,108
7,354,20,MVA,.914,5,0,.322,104
1,379,28,PUE,.872,4,1,.332,107
1,48,0,TAB,.269,0,0,.083,44
0,67,3,VRA,.456,0,0,.194,36
0,19,1,VAQ,.385,0,0,.105,6
9,289,15,MXO,.823,3,2,.349,74
1,117,2,LAR,.437,1,0,.188,58
1,0,0,MXO,--,0,0,--,1
0,359,25,OAX,1.019,5,0,.357,104
6,335,14,MXO,.868,3,8,.325,95
4,218,7,TIJ,.551,2,1,.225,77
3,309,17,TAB,.869,6,0,.301,91
6,119,10,TAB,1.020,2,0,.353,33
9,309,21,MTY,.779,3,1,.288,86
2,284,16,SLT,.735,7,4,.292,86
3,408,22,QR,.848,3,1,.284,109
1,231,13,OAX,.795,0,3,.299,83
