e,avg,2b,r,Date
2,0.232,0,2,"Mar 13, 2009"
0,0.237,0,1,"Feb 27, 2009"
0,0.229,0,2,"Apr. 4, 2009"
1,0.233,0,2,"Apr 1, 2009"
1,0.243,3,8,"Feb 21, 2009"
1,0.256,1,5,"Feb 8, 2009"
2,0.236,1,7,"May 7, 2009"
0,0.23,0,3,"Mar 14, 2009"
0,0.229,0,1,"Apr. 5, 2009"
1,0.225,0,4,"Apr 18, 2009"
2,0.236,0,6,"Apr 25, 2009"
0,0.312,2,6,"Feb 6, 2009"
0,0.233,1,2,"May 02, 2009"
3,0.259,1,3,"Feb. 7, 2009"
0,0.227,0,4,"Apr 22, 2009"
1,0.231,0,7,"Mar 13, 2009"
1,0.241,0,6,"Mar 6, 2009"
1,0.232,0,4,"Mar 22, 2009"
0,0.233,1,4,"Mar 12, 2009"
1,0.229,0,2,"Mar 16, 2009"
1,0.237,0,3,"Mar 7, 2009"
0,0.269,1,3,"Feb 6, 2009"
