Team,Oppo,Date,Comp,Res,Appear,g,a,sh,sg,fc,fs,yc,rc
Granada,H - Atletico,"May 23, 2015",La Liga,D 0-0,Started,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
Granada,A - R Sociedad,"May 17, 2015",La Liga,W 0-3,Substitute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granada,H - Cordoba,"May 9, 2015",La Liga,W 2-0,Started,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Granada,A - Getafe,"May 3, 2015",La Liga,W 1-2,Started,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Granada,H - Espanyol,"Apr 30, 2015",La Liga,L 1-2,Started,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
Granada,H - Sevilla,"Apr 19, 2015",La Liga,D 1-1,Sub-Off 83 min,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Granada,A - Almeria,"Apr 11, 2015",La Liga,L 3-0,Sub-Off 62 min,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Granada,H - Celta Vigo,"Apr 8, 2015",La Liga,D 1-1,Started,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Granada,H - Eibar,"Mar 21, 2015",La Liga,D 0-0,Started,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0
Granada,A - Rayo,"Mar 14, 2015",La Liga,L 3-1,Started,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Granada,H - Malaga,"Mar 7, 2015",La Liga,W 1-0,Started,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0
Granada,H - Barcelona,"Feb 28, 2015",La Liga,L 1-3,Unused Substitute, , , , , , , , 
Granada,H - Athletic,"Feb 14, 2015",La Liga,D 0-0,Started,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
Granada,A - Villarreal,"Feb 7, 2015",La Liga,L 2-0,Started,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0
Granada,H - Elche,"Jan 31, 2015",La Liga,W 1-0,Started,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
Granada,A - Deportivo,"Jan 25, 2015",La Liga,D 2-2,Unused Substitute, , , , , , , , 
Torino,A - Empoli,"Dec 15, 2014",Serie A,D 0-0,Unused Substitute, , , , , , , , 
Torino,H - Palermo,"Dec 6, 2014",Serie A,D 2-2,Sub-On 60 min,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
Torino,A - Juventus,"Nov 30, 2014",Serie A,L 2-1,Unused Substitute, , , , , , , , 
Torino,A - AS Roma,"Nov 9, 2014",Serie A,L 3-0,Unused Substitute, , , , , , , , 
Torino,H - Atalanta,"Nov 2, 2014",Serie A,D 0-0,Unused Substitute, , , , , , , , 
Torino,H - Parma,"Oct 29, 2014",Serie A,W 1-0,Sub-On 90 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Torino,A - Lazio,"Oct 26, 2014",Serie A,L 2-1,Substitute,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Torino,H - Udinese,"Oct 19, 2014",Serie A,W 1-0,Sub-On 80 min,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
Torino,A - Napoli,"Oct 5, 2014",Serie A,L 2-1,Unused Substitute, , , , , , , , 
Torino,H - Fiorentina,"Sep 28, 2014",Serie A,D 1-1,Sub-On 56 min,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0
Torino,A - Cagliari,"Sep 24, 2014",Serie A,W 1-2,Sub-On 82 min,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Torino,H - Verona,"Sep 21, 2014",Serie A,L 0-1,Unused Substitute, , , , , , , , 
Torino,A - Sampdoria,"Sep 14, 2014",Serie A,L 2-0,Unused Substitute, , , , , , , , 
