oppTAv,PPF,YEAR
0.256,101,2011
0.255,96,2011
0.266,104,2011
0.255,101,2011
0.251,104,2011
0.264,98,2011
0.256,96,2011
0.262,105,2011
0.253,100,2011
0.257,94,2011
0.262,102,2011
0.26,95,2011
0.268,96,2011
0.26,91,2011
0.259,98,2011
0.252,107,2011
0.267,107,2011
0.256,106,2011
0.274,91,2011
0.263,99,2011
0.257,90,2011
0.254,92,2011
0.263,109,2011
0.257,89,2011
0.263,96,2011
0.266,94,2011
0.252,95,2011
0.257,108,2011
0.255,112,2011
0.264,103,2011
0.262,112,2011
0.266,99,2011
0.266,95,2011
0.255,108,2011
0.258,98,2011
0.262,109,2011
0.259,95,2011
0.261,105,2011
0.265,104,2011
0.252,114,2011
0.257,109,2011
0.247,100,2011
0.258,97,2011
0.268,100,2011
0.279,88,2011
0.265,91,2011
0.276,108,2011
0.256,100,2011
0.261,98,2011
0.256,107,2011
0.253,95,2011
0.269,86,2011
0.27,93,2011
0.257,97,2011
0.256,92,2011
0.263,98,2011
0.253,101,2011
0.26,101,2011
0.259,95,2011
0.28,110,2011
0.26,109,2011
0.263,104,2011
0.262,95,2011
0.261,113,2011
0.263,96,2011
0.285,112,2011
0.271,102,2011
0.252,92,2011
0.261,107,2011
0.261,99,2011
0.267,100,2011
0.259,101,2011
0.258,97,2011
0.257,99,2011
0.275,107,2011
0.264,95,2011
0.267,98,2011
0.265,98,2011
0.239,105,2011
0.261,98,2011
0.27,95,2011
0.267,91,2011
0.26,93,2011
0.245,106,2011
0.256,109,2011
0.247,90,2011
0.256,102,2011
0.262,104,2011
0.261,105,2011
0.253,103,2011
0.263,107,2011
0.278,98,2011
0.256,96,2011
0.263,106,2011
0.256,94,2011
0.255,101,2011
0.264,97,2011
0.254,106,2011
0.265,86,2011
0.257,105,2011
0.26,110,2011
0.259,94,2011
0.258,96,2011
0.26,95,2011
0.262,113,2011
0.261,103,2011
0.261,95,2011
0.258,106,2011
0.263,104,2011
0.268,108,2011
0.25,92,2011
0.278,113,2011
0.257,104,2011
0.257,91,2011
0.265,107,2011
0.261,102,2011
0.259,93,2011
0.261,109,2011
0.261,97,2011
0.267,110,2011
0.257,106,2011
0.256,101,2011
0.26,107,2011
0.269,102,2011
0.257,102,2011
0.263,104,2011
0.26,105,2011
0.261,104,2011
0.268,89,2011
0.257,98,2011
0.257,96,2011
0.262,106,2011
0.259,106,2011
0.252,88,2011
0.255,105,2011
0.268,109,2011
0.246,111,2011
0.26,102,2011
0.263,106,2011
0.264,96,2011
0.27,98,2011
0.26,97,2011
0.262,103,2011
0.257,110,2011
0.25,124,2011
0.251,105,2011
0.254,97,2011
0.259,103,2011
0.263,101,2011
0.261,108,2011
0.261,106,2011
0.262,95,2011
0.263,102,2011
0.261,103,2011
0.26,97,2011
0.27,113,2011
0.267,101,2011
0.26,96,2011
0.264,119,2011
0.261,104,2011
0.258,105,2011
0.262,97,2011
0.265,108,2011
0.271,94,2011
0.262,109,2011
0.262,99,2011
0.264,100,2011
0.26,96,2011
0.26,96,2011
0.266,112,2011
0.258,93,2011
0.264,100,2011
0.274,95,2011
0.253,112,2011
0.262,103,2011
0.267,113,2011
0.265,108,2011
0.265,96,2011
0.255,103,2011
0.266,94,2011
0.265,102,2011
0.257,95,2011
0.259,105,2011
0.261,96,2011
0.254,90,2011
0.26,100,2011
0.266,97,2011
0.246,91,2011
0.255,98,2011
0.262,89,2011
0.258,97,2011
0.268,106,2011
0.26,106,2011
0.272,113,2011
0.264,93,2011
0.257,95,2011
0.263,101,2011
0.264,95,2011
0.253,101,2011
0.265,96,2011
0.264,95,2011
0.264,105,2011
0.258,102,2011
0.265,110,2011
0.254,96,2011
0.272,108,2011
0.263,94,2011
0.274,113,2011
0.26,99,2011
0.249,91,2011
0.21,92,2011
0.272,118,2011
0.259,104,2011
0.238,83,2011
0.266,95,2011
0.263,113,2011
0.265,110,2011
0.254,112,2011
0.268,92,2011
0.259,106,2011
0.252,90,2011
0.265,95,2011
0.275,110,2011
0.263,95,2011
0.266,110,2011
0.262,105,2011
0.261,96,2011
0.264,101,2011
0.259,88,2011
0.269,90,2011
0.264,107,2011
0.258,96,2011
0.26,101,2011
0.263,101,2011
0.258,94,2011
0.268,88,2011
0.268,97,2011
0.263,96,2011
0.275,109,2011
0.265,102,2011
0.277,124,2011
0.26,95,2011
0.268,109,2011
0.251,92,2011
0.259,105,2011
0.263,96,2011
0.264,111,2011
0.261,96,2011
0.265,110,2011
0.27,98,2011
0.259,91,2011
0.258,105,2011
0.265,95,2011
0.254,98,2011
0.272,97,2011
0.27,106,2011
0.262,99,2011
0.263,90,2011
0.257,104,2011
0.267,99,2011
0.264,111,2011
0.257,102,2011
0.259,114,2011
0.265,106,2011
0.252,98,2011
0.258,96,2011
0.261,109,2011
0.26,109,2011
0.257,95,2011
0.26,97,2011
0.255,101,2011
0.269,96,2011
0.27,124,2011
0.264,97,2011
0.262,110,2011
0.264,97,2011
0.25,107,2011
0.263,103,2011
0.254,106,2011
0.258,95,2011
0.26,108,2011
0.258,102,2011
0.26,113,2011
0.272,94,2011
0.255,107,2011
0.258,111,2011
0.255,92,2011
0.27,103,2011
0.263,97,2011
0.271,107,2011
0.26,96,2011
0.262,95,2011
0.271,108,2011
0.261,105,2011
0.252,102,2011
0.257,96,2011
0.262,95,2011
0.256,95,2011
0.266,97,2011
0.256,108,2011
0.259,90,2011
0.26,104,2011
0.26,111,2011
0.259,108,2011
0.256,94,2011
0.263,91,2011
0.265,102,2011
0.262,115,2011
0.262,106,2011
0.267,88,2011
0.259,105,2011
0.264,98,2011
0.263,105,2011
0.255,91,2011
0.26,100,2011
0.263,95,2011
0.272,104,2011
0.257,120,2011
0.261,101,2011
0.25,105,2011
