col20,col15,col19,col13
mier,mir,мир,mír
pivo,pivo,бира; пиво,pivo
slo,slv,bul,ces
bik,bik,бик,býk
slo,slv,bul,ces
cibluk,čebula,лук; кромид,cibule
krisxa,streha,покрив,střecha
vugol,oglje,въглен,uhlí
broda,brada,брада,vousy
midlo,milo,сапун,mýdlo
stol,miza,маса,stůl
slo,slv,bul,ces
podbrodok,brada,брада,brada
sliva,sliva,слива,švestka
novju,nov,нов,nový
leov,lev,лъв,lev
papir,papir,хартия,papír
cxlovek,človek,човек,člověk
hleb,kruh,хляб,chléb
belju,bel,бял,bílý
vosx,uš,въшка,veš
prirod,priroda,природа,příroda
svin,svinja; prašič,прасе; свиня,prase
reka,reka,река,řeka
ocx,oko,око,oko
pogod,vreme,време,počasí
molba; molitba,molitev,молитва,modlitba
verblud,kamela; velblod,камила,velbloud
jacxmen,ječmen,ечемик,ječmen
sekund,sekunda,секунда,vteřina; sekunda
pravda,resnica,истина; правда,pravda
jazik,jezik,език,jazyk
dopis,pismo,писмо,dopis
vcxera,včeraj,вчера,včera
nozx,nož,нож,nůž
mlek,mleko,мляко,mléko
slon,slon,слон,slon
ostrov,otok,остров,ostrov
tigr,tiger,тигър,tygr
slo,slv,bul,ces
dom,hiša; dom,къща; дом,dům
svecxa,sveča,свещ,svíčka
vuol,vol,вол,vůl
zerkalo,ogledalo; zrcalo,огледало,zrcadlo
otrava; jad,strup,отрова,jed
noga,noga,крак; нога,noha
priatel; drug,prijatelj,приятел,přítel
ptak,ptica; ptač,птица,pták
slo,slv,bul,ces
ogrod; sad,vrt,градина,zahrada; sad
kot,mačka,котка; мачка,kočka
slo,slv,bul,ces
psxenc,pšenica,пшеница,pšenice
kuhna,kuhinja,кухня,kuchyně
med,med,мед,med
dete,otrok; dete,дете,dítě
sir,sir,сирене,sýr
cxeresx; visxna,češnja,череша; вишна,třešně
kolen,koleno,коляно,koleno
voda,voda,вода,voda
pustinia,pustinja,пустиня,poušť
buria,vihar,буря,bouře
mlodju,mlad,млад,mladý
religia,religija,религия,náboženství
led,led,лед,led
slo,slv,bul,ces
nocx,noč,нощ,noc
cxervenju,rdeč,червен,červený; rudý
slo,slv,bul,ces
kvit,cvetica,цвете; цвят,květina
drev,drevo,дърво,strom
starju,star,стар,starý
 ,tulipan,лале,tulipán
koz,koza,коза,koza
lebed,labod,лебед,labuť
ogen,ogenj,огън,oheň
ovec,ovca,овца,ovce
vesna,pomlad,пролет,jaro
okno,okno,прозорец,okno
slov,beseda,дума; слово,slovo
guba,ustnica,устна,pysk
sneg,sneg,сняг,sníh
vino,vino,вино,víno
sosed,sosed,съсед; комшия,soused
motil; babocxka,metulj,пеперуда,motýl
knig,knjiga,книга,kniha
angel,angel,ангел,anděl
zxoltju,rumen,жълт,žlutý
dorog,pot,път,cesta
ili,ali,или,nebo
vrona,vrana,врана,vrána
zxelez,železo,желязо,železo
kasxtanju; koricxju,rjav,кафяв,hnědý
krilo,krilo,крило,křídlo
oblak,oblak,облак,mrak; oblak
dolina,dolina,долина,údolí
kofe,kava,кафе,káva
otec,oče,баща; татко,otec
perec,poper,пипер,pepř
ulca,cesta,улица,ulice
most,most,мост,most
kon,konj,кон,kůň
lizxka,žlica,лъжица,lžíce
bloha,bolha,бълха,blecha
strah,strah,страх,strach
slo,slv,bul,ces
strelka,strelica,стрела,šíp
golub,golob,гълъб,holub
zxizn,življenje,живот,život
vrem,čas,време,čas
slo,slv,bul,ces
muka,moka,брашно,mouka
vecxer,večer,вечер,večer
morie,morje,море,moře
vezxa; basxta,stolp,кула,věž
serce,srce,сърце,srdce
osel,osel,магаре,osel
mama,mati,майка,matka
cxislo,številka,номер,číslo
cxas,ura,час,hodina
sxkol,šola,училище,škola
zima,zima,зима,zima
ja,jaz,аз,já
orel,orel,орел,orel
dengi,denar,пари,peníze
sestra,sestra,сестра,sestra
cxai,čaj,чай,čaj
 ,kis; ocet,оцет,ocet
gost,gost,гост,host
ruk,roka,ръка,ruka
volk,volk,вълк,vlk
tabak,tobak,тютюн,tabák
grusxa,hruška,круша,hruška
