GS,G,Age,TOV%,DRtg,Rk
0,20,27-063,12.7,100,20
0,26,27-075,28.6,110,26
0,7,27-001,50.0,106,7
0,4,26-361,13.4,108,4
1,12,27-032,33.8,112,12
0,30,27-084,17.0,134,30
0,13,27-040,66.7,142,13
0,52,27-154,51.0,111,52
0,53,27-156,0.0,120,53
0,42,27-131,25.8,99,42
0,6,27-000,38.5,82,6
0,14,27-042,33.3,98,14
0,3,26-359,50.0,106,3
0,41,27-130,14.3,97,41
1,9,27-015,28.6,90,9
1,8,27-014,60.0,117,8
0,34,27-115,29.1,123,34
0,19,27-061,34.0,119,19
0,40,27-128,20.0,89,40
0,39,27-124,33.8,90,39
0,5,26-363,41.0,102,5
0,17,27-053,33.3,103,17
0,33,27-113,0.0,121,33
1,11,27-030,34.6,88,11
0,43,27-133,50.0,108,43
