2B,AVG,SB,SH,G,POS,3B,SO,Team,SLG
34,.358,2,0,85,DH,2,63,OAX,.592
24,.359,0,0,98,DH,1,47,YUC,.503
16,.325,3,0,98,1B,1,52,MTY,.530
29,.327,5,3,99,3B,1,57,REY,.520
0,.000,0,0,3,C,0,1,MEX,.000
1,.143,0,1,25,SS,1,12,VER,.204
12,.267,9,10,94,OF,1,99,OAX,.344
4,.265,1,4,21,SS,0,11,MEX,.469
16,.342,25,8,102,OF,8,48,MEX,.536
19,.294,9,2,86,3B,0,60,YUC,.378
8,.272,0,1,45,1B,0,15,TIG,.474
1,.261,1,0,18,C,0,4,MIN,.304
0,.000,0,0,3,C,0,3,CAM,.000
3,.237,1,2,50,2B,0,17,YUC,.263
0,.200,0,1,4,3B,0,0,CAM,.200
18,.340,6,4,86,OF,0,36,MVA,.497
0,.250,0,0,10,C,1,1,TIG,.500
13,.296,2,2,97,DH,0,55,CAM,.470
10,.219,2,3,56,C,0,35,SAL,.355
12,.230,0,3,58,C,0,35,VER,.321
15,.283,5,6,81,OF,0,46,MTY,.386
3,.317,1,2,54,3B,1,9,PUE,.394
25,.323,2,0,96,1B,0,97,LAG,.566
15,.290,2,1,103,OF,0,95,VER,.622
9,.320,4,4,53,SS,1,18,MVA,.391
11,.331,15,4,78,RF,2,34,CAM,.466
13,.266,2,1,97,DH,0,63,TIG,.458
22,.322,7,0,97,OF,2,53,CAM,.655
26,.351,0,2,75,OF,2,26,MEX,.603
21,.272,1,9,100,SS,0,46,PUE,.384
19,.304,1,5,87,3B,2,82,SAL,.473
0,.195,0,2,31,C,0,5,TIG,.268
6,.246,3,5,74,OF,3,33,OAX,.338
1,.222,3,0,44,OF,0,13,MIN,.244
14,.274,4,5,43,SS,0,13,MTY,.411
15,.279,27,0,59,OF,1,39,SAL,.382
25,.336,9,2,102,OF,0,36,LAG,.481
28,.256,7,11,94,2B,1,56,MVA,.421
10,.327,3,0,40,SS,0,41,SAL,.597
0,.200,0,1,9,OF,0,1,CAM,.200
7,.281,3,6,64,2B,2,20,CAM,.381
10,.280,7,12,92,SS,1,46,TIG,.398
3,.258,3,2,45,LF,0,25,MTY,.348
1,.226,1,0,19,OF,0,11,MVA,.242
5,.248,4,6,37,OF,1,33,CAM,.430
27,.390,30,1,97,OF,2,85,MEX,.770
6,.291,4,3,49,2B,1,25,SAL,.462
7,.276,0,0,49,1B,0,33,MTY,.427
16,.341,0,0,90,DH,0,50,REY,.580
4,.329,4,8,46,2B,2,21,MTY,.445
0,.000,0,0,1,2B,0,1,REY,.000
15,.253,6,2,102,RF,0,150,VER,.562
14,.267,1,6,81,C,0,50,YUC,.424
3,.237,0,10,39,C,1,27,CAM,.320
15,.396,1,0,83,1B,2,41,OAX,.653
2,.167,0,0,17,C,0,9,REY,.233
6,.366,2,0,36,1B,2,29,SAL,.731
0,.250,0,0,5,SS,0,1,YUC,.250
8,.249,3,14,81,2B,2,32,REY,.308
32,.310,3,3,98,3B,0,58,MIN,.545
0,--,0,0,1,C,0,0,MTY,--
22,.290,5,4,97,2B,3,28,YUC,.394
0,.133,0,0,4,2B,0,4,MVA,.133
0,.263,2,1,6,C,0,4,LAG,.263
17,.282,6,7,81,3B,2,42,SAL,.416
26,.339,0,0,101,1B,0,64,TAB,.574
3,.333,1,3,14,OF,0,3,SAL,.410
2,.253,2,3,59,OF,0,17,SAL,.274
20,.254,14,3,65,CF,1,56,MIN,.500
0,.238,0,1,25,RF,0,5,MVA,.238
