Q,O,C,A,I,S,E,R
346,341,Roberton,1213,Auckland- Whau,350,174.698538,332
181,172,Seacliffe,1221,Auckland- Devonport-Takapuna,175,174.787647,172
1006,1038,Hingaia,441,Auckland- Papakura,882,174.903703,967
339,328,Beachhaven North,1223,Auckland- Kaipatiki,335,174.691075,333
341,318,Herne Bay,1220,Auckland- Waitemata,354,174.731367,340
84,55,Northcross,481,Auckland- Upper Harbour,100,174.722963,94
1507,1329,Kohuora,96,Auckland- Otara-Papatoetoe,1475,174.833081,1492
771,748,Balmoral,1219,Auckland- Albert-Eden,808,174.745822,779
334,318,Bombay,1234,Auckland- Franklin,338,174.995081,345
306,374,Henderson South,1238,Auckland- Henderson-Massey,261,174.627079,284
271,277,Three Kings,1261,Auckland- Puketapapa,280,174.743731,276
436,442,Mangere South,544,Auckland- Mangere-Otahuhu,494,174.792438,465
324,323,Blockhouse Bay,473,Auckland- Whau,324,174.697869,331
985,944,Orakei South,61,Auckland- Orakei,1020,174.800324,1009
54,52,Royal Oak,523,Auckland- Puketapapa,51,174.760602,55
387,485,Auckland Central East,1605,Auckland- Waitemata,294,174.765196,355
536,578,Crum Park,1206,Auckland- Whau,570,174.674452,594
36,52,Panmure Basin,460,Auckland- Maungakiekie-Tamaki,26,174.854481,33
479,457,Birkdale North,1228,Auckland- Kaipatiki,464,174.700666,432
414,417,Drury,1263,Auckland- Papakura,419,174.950403,416
460,462,Wattle Farm,1247,Auckland- Manurewa,475,174.896892,470
318,340,Royal Heights,1254,Auckland- Henderson-Massey,242,174.632881,288
763,759,Bucklands Beach South,1240,Auckland- Howick,811,174.910452,803
101,112,Clevedon,1236,Auckland- Franklin,107,174.993987,105
2467,2358,Mt Eden North,54,Auckland- Albert-Eden,2509,174.768851,2456
319,299,Seacliffe,1226,Auckland- Devonport-Takapuna,345,174.791388,319
252,237,Buckland,1239,Auckland- Franklin,262,174.926351,242
y_2010,y_2008,Census.Area.Unit,id,region,y_2012,Longitude,y_2011
1828,1640,Dannemora,6930,Auckland- Howick,1832,174.915446,1837
528,514,Mt St John,66,Auckland- Albert-Eden,573,174.781062,532
458,464,Botany Downs,1235,Auckland- Howick,463,174.922774,467
114,128,Awhitu,1214,Auckland- Franklin,124,174.616355,118
87,111,Maungawhau,4100,Auckland- Albert-Eden,88,174.745772,88
768,869,Birkdale South,31,Auckland- Kaipatiki,750,174.701151,779
28,21,Weymouth West,2762,Auckland- Manurewa,28,174.867889,26
626,604,Blockhouse Bay,1233,Auckland- Whau,598,174.702162,583
657,635,Epsom Central,1211,Auckland- Albert-Eden,684,174.765702,651
24,9,Drury,506,Auckland- Papakura,33,174.949579,30
379,456,Avondale West,1212,Auckland- Whau,342,174.692917,368
258,278,Birkdale South,1230,Auckland- Kaipatiki,201,174.703493,223
41,40,Manukau Central,4156,Auckland- Manurewa,41,174.87331,43
253,287,Riverhead,1252,Auckland- Rodney,237,174.64439,228
373,341,Kauri Park,1231,Auckland- Kaipatiki,364,174.723844,339
530,518,Seacliffe,1225,Auckland- Devonport-Takapuna,568,174.789451,558
623,640,Mt St John,1256,Auckland- Albert-Eden,633,174.789077,632
604,567,Sandringham West,1265,Auckland- Albert-Eden,577,174.737208,588
332,355,Chelsea,1244,Auckland- Kaipatiki,365,174.70762,356
361,348,Clevedon,1249,Auckland- Franklin,359,175.038957,343
694,695,Cockle Bay,1253,Auckland- Howick,710,174.939225,708
133,132,Mcleod,1209,Auckland- Henderson-Massey,132,174.652675,132
2688,2559,Avondale West,78,Auckland- Whau,2618,174.691137,2638
527,507,Takanini West,1255,Auckland- Papakura,541,174.911616,529
334,320,Glendhu,1222,Auckland- Kaipatiki,312,174.706554,342
188,205,Dairy Flat-Redvale,1258,Auckland- Rodney,210,174.638892,191
1017,945,Mangere East,94,Auckland- Otara-Papatoetoe,999,174.837764,991
780,764,Avondale South,1232,Auckland- Whau,867,174.694022,836
986,987,Westlake,35,Auckland- Devonport-Takapuna,1013,174.756742,974
