Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank,Visit Date,Enrolled,Recruited By
Marvin Austin 5 stars,DT,"Washington, District of ColumbiaBallou","0'10""",291,4.68,5 stars,6.1,02/07/2007,5 videos,1.0,1.0,01/12/2007,yes,"John Blake, Tommy Thigpen"
Charles Brown 2 stars,WR,"Maple Heights, OHMaple Heights","0'10""",187,4.49,2 stars,5.4,01/29/2007,1 video, , ,01/19/2007,yes,Tommy Thigpen
Terrence Brown 0 stars,K,"Fresno, CAFresno City C.C.","6'3""",190,0.0,0 stars, ,04/18/2007, , , , ,yes, 
Kevin Bryant 3 stars,OL,"Lauderdale Lakes, FLBoyd Anderson","6'6""",380,5.87,3 stars,5.7,02/07/2007,1 video,25.0,54.0,02/02/2007,yes,Sam Pittman
Albert Craddock 3 stars,LB,"High Point, NCSouthwest Guilford","6'2""",200,4.4,3 stars,5.5,03/04/2006,3 videos,51.0,29.0,01/19/2007, ,Tommy Thigpen
Mike Dykes 3 stars,OL,"Pittsburgh, PAWoodland Hills","6'4""",275,5.2,3 stars,5.6, ,8 videos,41.0,31.0,07/15/2006,yes,Sam Pittman
Linwan Euwell 3 stars,DE,"Tarboro, NCSouthwest Edgecombe","6'2""",210,4.65,3 stars,5.6,02/02/2007,3 videos,28.0,21.0,01/19/2007,yes,"John Blake, Ken Browning"
LaCount Fantroy 3 stars,DB,"New Berlin, NYMilford Academy","5'11""",170,4.5,3 stars,5.5,09/18/2006, , , , ,yes,Tommy Thigpen
Carl Gaskins 2 stars,OL,"Melbourne, FLPalm Bay","6'6""",254,5.36,2 stars,5.0,02/04/2007,3 videos, , ,02/02/2007,yes,Sam Pittman
Brian Gupton 3 stars,WR,"Nashville, TNPearl-Cohn","6'3""",185,4.5,3 stars,5.5,02/04/2007, , , , ,yes,Charlie Williams
Cameron Holland 3 stars,OL,"Pittsburgh, PAPerry Traditional Academy","6'2""",275,4.95,3 stars,5.5,07/21/2006, ,62.0,36.0,07/15/2006,yes,Sam Pittman
Ryan Houston 3 stars,RB,"Matthews, NCButler","6'2""",245,4.58,3 stars,5.7,06/23/2006,7 videos,21.0,19.0,01/19/2007,yes,Tommy Thigpen
Dwight Jones 5 stars,WR,"Burlington, NCCummings","6'5""",210,0.0,5 stars,6.1,02/16/2006,5 videos,4.0,2.0,01/26/2007, ,Charlie Williams
Greg Little 4 stars,ATH,"Durham, NCHillside","0'10""",214,4.68,4 stars,5.9,02/06/2007,4 videos,13.0,6.0, ,yes,Ken Browning
Rashad Mason 4 stars,WR,"Nashville, TNPearl-Cohn","6'6""",215,4.5,4 stars,5.8,02/04/2007,5 videos,18.0,4.0,01/05/2007,yes,Charlie Williams
Matt Merletti 2 stars,ATH,"Cleveland, OHSt. Ignatius","5'11""",185,4.48,2 stars,5.0,12/13/2006,2 videos, , ,12/08/2006,yes,Tommy Thigpen
Mike Paulus 4 stars,QB,"Syracuse, NYChristian Brothers","6'5""",220,4.9,4 stars,5.9,04/28/2006,4 videos,4.0,1.0,01/19/2007,yes,"Steve Hagen, John Shoop"
Zack Pianalto 3 stars,TE,"Springdale, ARSpringdale","6'4""",215,4.63,3 stars,5.6,01/02/2007,2 videos,36.0,11.0,12/15/2006,yes,Steve Hagen
Tydreke Powell 4 stars,DT,"Ahoskie, NCHertford County","0'10""",298,4.9,4 stars,5.8,01/21/2007,5 videos,21.0,13.0,01/19/2007,yes,"John Blake, Ken Browning"
Devon Ramsay 3 stars,RB,"Red Bank, NJLawrenceville Prep","0'10""",242,4.6,3 stars,5.7,02/07/2007,7 videos,6.0,13.0,01/26/2007,yes,Steve Hagen
Da-Norris Searcy 2 stars,DB,"Decatur, GATowers","5'11""",180,4.78,2 stars,5.3, , , , ,12/08/2006,yes,Tommy Thigpen
Jonathan Smith 3 stars,DB,"Durham, NCHillside","0'10""",184,0.0,3 stars,5.5,04/11/2006,1 video,60.0, ,10/28/2006,yes,"Ken Browning, Tommy Thigpen"
Quantavius Sturdivant 3 stars,ATH,"Oakboro, NCWest Stanly","0'10""",224,4.55,3 stars,5.5,11/17/2006,4 videos, , , ,yes,Tommy Thigpen
Jay Wooten 2 stars,K,"Laurinburg, NCScotland County","6'3""",180,4.8,2 stars,5.4,05/19/2006,2 videos,22.0, ,01/19/2007,yes,Tommy Thigpen
