Batter,Team,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,AVG,OBP,SLG,OPS
Mauro Gomez,Paw,120,20,38,9,0,13,32,0,0,9,29,0.317,0.362,0.717,1.078
Bryce Brentz,PawPor,124,18,39,5,0,11,30,2,0,12,31,0.315,0.372,0.621,0.993
Brandon Jacobs,Sal,94,23,37,8,0,7,22,7,5,12,19,0.394,0.472,0.702,1.174
Travis Shaw,PorSal,139,28,42,15,0,7,27,3,1,19,28,0.302,0.402,0.561,0.964
Xander Bogaerts,PorSal,110,14,28,7,0,6,20,1,2,16,29,0.255,0.352,0.482,0.833
J.C. Linares,PawPor,91,15,28,5,0,5,13,0,1,10,13,0.308,0.373,0.527,0.9
Jeremy Hazelbaker,PawPor,144,22,38,7,2,5,23,5,3,5,32,0.264,0.293,0.444,0.738
David Renfroe,SalGre,107,15,34,11,0,4,18,3,0,15,15,0.318,0.407,0.533,0.939
Jackie Bradley,PorSal,131,26,40,11,1,4,21,5,2,16,31,0.305,0.404,0.496,0.9
Nate Spears,Paw,91,12,21,4,0,4,8,0,1,7,26,0.231,0.293,0.407,0.7
Reynaldo Rodriguez,PawPor,92,14,19,6,0,4,11,1,1,8,19,0.207,0.282,0.402,0.684
Henry Ramos,Gre,109,17,33,8,1,3,22,4,3,13,21,0.303,0.387,0.477,0.864
Keury De La Cruz,SalGre,129,17,41,9,4,2,16,10,4,12,23,0.318,0.389,0.496,0.885
Christian Vazquez,PorSal,81,17,21,6,0,2,9,0,0,19,14,0.259,0.396,0.407,0.803
Lars Anderson,Paw,92,12,24,6,0,2,14,0,0,13,24,0.261,0.343,0.391,0.734
Michael Almanzar,Sal,101,15,26,9,0,2,12,0,2,6,14,0.257,0.299,0.406,0.705
Shannon Wilkerson,PorSal,113,16,33,5,2,1,11,9,3,5,13,0.292,0.322,0.398,0.72
Cody Koback,Gre,97,9,23,4,1,1,9,5,1,9,30,0.237,0.312,0.33,0.642
Jose Garcia,Gre,88,15,21,4,0,1,5,7,2,11,23,0.239,0.317,0.318,0.635
Manuel Margot,DSL,86,16,27,1,4,0,11,6,2,15,13,0.314,0.404,0.419,0.822
Garin Cecchini,Gre,130,18,29,6,1,0,13,15,4,13,28,0.223,0.318,0.285,0.602
Andres Garcia,DSL,84,14,16,4,1,0,4,3,3,17,13,0.19,0.337,0.262,0.598
Derrik Gibson,Por,104,6,22,4,0,0,5,2,3,15,20,0.212,0.317,0.25,0.567
Che-Hsuan Lin,Paw,111,11,21,1,3,0,3,3,1,8,16,0.189,0.248,0.252,0.5
