BLK%,Age,Tm,GS,STL%,Opp,ORB%,eFG%
0.0,42-142,CHH,0,0.0,MIA,18.5, 
0.0,42-160,CHH,0,0.0,SAS,7.7,1.000
4.1,42-172,CHH,0,3.2,MIL,0.0,.750
3.3,42-232,CHH,1,0.0,MIL,5.4,.500
0.0,42-093,CHH,0,0.0,MIA,0.0, 
0.0,42-200,CHH,1,2.5,PHO,6.1,.400
0.0,42-132,CHH,0,0.0,TOR,14.0,.000
0.0,42-134,CHH,0,0.0,DET,16.8,.500
8.4,42-162,CHH,0,0.0,SAC,0.0,1.000
6.2,42-212,CHH,1,2.4,SAC,16.2,.538
6.3,42-209,CHH,1,0.0,DEN,4.7,.750
0.0,42-147,CHH,0,0.0,WSB,46.8,.000
0.0,42-106,CHH,0,0.0,POR,26.1, 
0.0,42-129,CHH,0,0.0,ATL,44.4,.333
0.0,42-170,CHH,0,0.0,DEN,0.0, 
0.0,42-155,CHH,0,0.0,HOU,28.6,.000
0.0,42-103,CHH,0,0.0,UTA,0.0,1.000
0.0,42-152,CHH,0,0.0,CLE,0.0, 
5.8,42-207,CHH,1,1.8,LAL,7.4,.625
15.3,42-214,CHH,1,0.0,VAN,7.7,.600
0.0,42-136,CHH,0,0.0,DAL,0.0, 
0.0,42-182,CHH,0,1.9,BOS,16.3,.500
0.0,42-113,CHH,0,0.0,BOS,0.0, 
8.0,42-228,CHH,1,0.0,PHI,12.0,.667
9.0,42-186,CHH,0,0.0,IND,10.1,.250
