Time (MST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
12:18 AM,15.8 °F,4.2 °F,10.4 °F,79%,29.97 in,3.0 mi,SE,9.2 mph,-,0.00 in,Snow,Light Snow
12:53 AM,15.1 °F,1.8 °F,10.9 °F,84%,30.11 in,5.0 mi,SE,11.5 mph,-,0.00 in,Snow,Light Snow
1:53 AM,16.0 °F,4.4 °F,12.0 °F,84%,30.10 in,7.0 mi,ESE,9.2 mph,-,0.00 in,Snow,Light Snow
2:33 AM,15.8 °F,4.2 °F,12.2 °F,86%,29.97 in,10.0 mi,ESE,9.2 mph,-,0.00 in, ,Overcast
2:53 AM,16.0 °F,4.4 °F,12.0 °F,84%,30.10 in,10.0 mi,SE,9.2 mph,-,0.00 in, ,Overcast
3:53 AM,16.0 °F,4.4 °F,12.0 °F,84%,30.10 in,10.0 mi,ESE,9.2 mph,-, , ,Overcast
4:18 AM,15.8 °F,3.4 °F,12.2 °F,86%,29.97 in,10.0 mi,ESE,10.4 mph,-, , ,Overcast
4:53 AM,16.0 °F,5.3 °F,12.9 °F,88%,30.12 in,10.0 mi,ESE,8.1 mph,-, , ,Overcast
5:53 AM,16.0 °F,6.3 °F,12.9 °F,88%,30.12 in,10.0 mi,ESE,6.9 mph,-, , ,Overcast
6:53 AM,16.0 °F,3.6 °F,12.0 °F,84%,30.14 in,8.0 mi,SE,10.4 mph,-, , ,Overcast
7:37 AM,15.8 °F,2.7 °F,12.2 °F,86%,30.02 in,2.5 mi,SE,11.5 mph,-,0.00 in,Snow,Light Snow
7:53 AM,16.0 °F,3.6 °F,12.0 °F,84%,30.16 in,1.8 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
8:25 AM,17.6 °F,8.2 °F,12.2 °F,79%,30.02 in,1.0 mi,SE,6.9 mph,-,0.00 in,Snow,Light Snow
8:32 AM,17.6 °F,7.3 °F,12.2 °F,79%,30.02 in,0.8 mi,SE,8.1 mph,-,0.01 in,Snow,Light Snow
8:40 AM,17.6 °F,6.4 °F,12.2 °F,79%,30.02 in,1.2 mi,SE,9.2 mph,-,0.01 in,Snow,Light Snow
8:53 AM,17.1 °F,5.8 °F,12.9 °F,84%,30.16 in,1.0 mi,SE,9.2 mph,-,0.01 in,Snow,Light Snow
9:37 AM,19.4 °F,10.4 °F,12.2 °F,74%,30.02 in,1.8 mi,SSE,6.9 mph,-,0.00 in,Snow,Light Snow
9:46 AM,19.4 °F,7.2 °F,12.2 °F,74%,30.02 in,2.5 mi,SE,11.5 mph,-,0.00 in,Snow,Light Snow
9:53 AM,19.9 °F,8.6 °F,14.0 °F,78%,30.15 in,3.0 mi,SSE,10.4 mph,-,0.00 in, ,Haze
10:44 AM,21.2 °F,8.9 °F,15.8 °F,80%,30.02 in,2.5 mi,SE,12.7 mph,-,0.00 in,Snow,Light Snow
10:51 AM,21.2 °F,10.1 °F,15.8 °F,80%,30.02 in,4.0 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
10:53 AM,21.0 °F,9.3 °F,15.1 °F,78%,30.15 in,5.0 mi,SE,11.5 mph,-,0.00 in,Snow,Light Snow
11:02 AM,21.2 °F,8.9 °F,15.8 °F,80%,30.02 in,10.0 mi,SE,12.7 mph,-,0.00 in, ,Overcast
11:34 AM,21.2 °F,11.7 °F,15.8 °F,80%,30.01 in,1.8 mi,SSE,8.1 mph,-,0.00 in,Snow,Light Snow
11:53 AM,21.9 °F,11.0 °F,16.0 °F,78%,30.14 in,1.8 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
12:02 PM,21.2 °F,9.5 °F,15.8 °F,80%,30.01 in,2.0 mi,SSE,11.5 mph,-,0.00 in,Snow,Light Snow
12:15 PM,21.2 °F,9.5 °F,15.8 °F,80%,30.00 in,1.8 mi,SSE,11.5 mph,-,0.00 in,Snow,Light Snow
12:23 PM,21.2 °F,10.1 °F,15.8 °F,80%,30.00 in,2.5 mi,SE,10.4 mph,-,0.00 in,Snow,Light Snow
12:38 PM,21.2 °F,10.9 °F,15.8 °F,80%,30.00 in,1.8 mi,SE,9.2 mph,-,0.00 in,Snow,Light Snow
12:53 PM,21.9 °F,11.7 °F,17.1 °F,82%,30.12 in,1.8 mi,SE,9.2 mph,-,0.00 in,Snow,Light Snow
1:00 PM,23.0 °F,13.1 °F,17.6 °F,80%,29.99 in,2.5 mi,SE,9.2 mph,-,0.00 in,Snow,Light Snow
1:08 PM,23.0 °F,14.7 °F,17.6 °F,80%,29.99 in,4.0 mi,SSE,6.9 mph,-,0.00 in,Snow,Light Snow
1:53 PM,23.0 °F,13.9 °F,17.1 °F,78%,30.11 in,6.0 mi,ESE,8.1 mph,-,0.00 in,Snow,Light Snow
2:18 PM,24.8 °F,14.6 °F,17.6 °F,74%,29.98 in,6.0 mi,ESE,10.4 mph,-,0.00 in,Snow,Light Snow
