Version,engine,backend,register,ledger,motif,gnome,misc app,import-export,reports,scheme,business,test,docs,internal txt,Total,Languages,Author Credits
xacc-0.9 Sept 97,-,-,-,-,34 files (7.5+0.9),-,-,-,-,-,-,-,5 files (0.4),1 file (0.1),40 files (8.8),1,1
xacc-0.9w Dec 97,-,-,-,-,51 files (13.8+1.5),-,-,-,-,-,-,-,9 files (0.8),1 file (0.1),61 files (16.2),1,2
xacc-1.0.17 Feb 98,-,-,-,-,52 files (14.8+1.8),-,-,-,-,-,-,-,12 files (1.4),4 files (0.3),68 files (18.3),1,7
gnucash-1.1.15 Aug 98,24 files (6.2+1.5),-,31 files (6.1+1.7),5 files (1.4+0.4),30 files (7.4+0.7),17 files (3.4+0.5),-,-,-,3 files (0.3),-,-,16 files (1.9),17 files (1.8),159 files (34.7),1 (0.17),25
gnucash-1.2.2 Aug 99,41 files (10.2+3.6),-,28 files (5.5+1.7),14 files (2.4+0.6),26 files (8.7+0.5),-,-,-,-,14 files (1.4),-,-,30 files (2.6),15 files (1.8),168 files (39.0),3 (0.54),41
gnucash-1.3.6 April 2000,41 files (12.9+4.0),-,32 files (6.8+2.1),19 files (4.0+0.8),-,78 files (32.2+3.0),-,-,-,74 files (4.0+0.7+12.3),-,-,33 files (7.8),25 files (4.5),302 files (95.1),5 (4.3),61
gnucash-1.4.6 Sept 2000,43 files (13.0+3.6),-,27 files (5.9+2.0),24 files (5.4+1.8),-,82 files (33.8+3.0),-,-,-,68 files (4.0+0.7+15.5),-,-,36 files (9.3),36 files (4.8),316 files (101.9),7 (6.0),82
gnucash-1.4.12 April 2001,43 files (13.1+3.6),-,27 files (5.9+2.0),24 files (5.4+1.8),-,82 files (33.5+3.0),-,-,-,73 files (4.0+0.7+17.7),-,-,43 files (11.5),39 files (6.0),331 files (108.2),12 (17.8),97
gnucash-1.5.2 Sept 2000,46 files (14.9+3.7),-,29 files (6.3+2.0),25 files (5.7+1.8),-,83 files (35.8+2.9),-,-,-,73 files (4.6+0.8+16.8),-,-,37 files (10.7),48 files (8.2),341 files (114.2),8 (7.8),89
gnucash-1.6.0 June 2001,139 files (42.8+8.3),-,28 files (5.7+2.0),23 files (10.1+1.5),-,132 files (60.0+4.2),-,-,-,102 files (6.2+0.8+27.3),-,-,64 files (12.1),69 files (12.9),455 files (193.9),11 (18.7),123
gnucash-1.7.2 November 2002,104 files (28.7+7.8+3.3),89 files (30.0+3.3),34 files (5.2+2.0) 29 files (10.5+1.2),17 files (9.4+0.7),-,143 files (56.0+4.7+0.9),75 files (17.0+2.5+5.1),78 files (11.1+1.5+7.3),38 files (2.4+0.1+14.2),17 files (3.4),94 files (19.9+1.9+4.5),72 files (7.9+0.1+0.7),83 files (22.2),62 files (11.6),935 files (297.1),21 (56.1),130
gnucash-1.8.4 June 2003,100 files (29.7+8.3+3.4),89 files (30.1+3.3),35 files (5.3+2.0) 31 files (10.7+1.2),17 files (10.2+0.8),-,151 files (58.7+5.1+1.1),71 files (16.9+2.6+5.2),86 files (13.3+1.8+7.5),52 files (2.4+0.2+15.1),17 files (4.1),98 files (21.5+2.0+5.1),76 files (8.6+0.2+0.7),24 files (13.8) 199 files (80.3),69 files (14.3),1115 files (385.5),23 (62.4),139
