G,eFG%,MP,USG%,Rk
15,.286,15:00,27.5,15
14,.600,17:00,16.4,14
71,.800,17:00,19.4,71
48,1.000,10:00,4.1,48
80,.571,28:00,15.1,80
30,.429,16:00,25.6,30
29,.400,10:00,22.8,29
2,1.000,19:00,6.6,2
28,.143,12:00,23.6,28
33,.625,14:00,12.1,33
39,.222,14:00,27.4,39
75,.200,20:00,12.9,75
18,.786,23:00,15.7,18
16,.667,27:00,12.9,16
9,.500,12:00,31.8,9
17,.500,7:00,12.9,17
6,.571,18:00,21.2,6
37,.333,23:00,19.1,37
25,.563,21:00,39.3,25
55,.600,17:00,16.9,55
47,.000,11:00,19.1,47
51,.000,8:00,10.5,51
35,.571,22:00,15.8,35
7,.500,12:00,9.2,7
77,.500,28:00,13.1,77
1,.500,15:00,8.6,1
10,.667,17:00,24.2,10
54,.333,20:00,17.7,54
43,.500,15:00,10.1,43
32,.444,26:00,19.3,32
