Team,OPS,SO,POS
QC,.881,55,OF
BUR,.417,29,C
CED,.792,85,SS
KCC,.819,110,OF
KCC,.799,68,SS
CED,.802,31,2B
FTW,--,0,C
PEO,.940,94,2B
QC,.507,44,C
SWM,.732,44,3B
PEO,.582,67,C
LAN,.803,40,OF
DAY,.734,60,1B
QC,.707,43,OF
PEO,.583,4,C
FTW,.740,57,OF
BUR,.497,71,OF
QC,.881,37,OF
BUR,.838,9,2B
SOU,.808,37,2B
DAY,.822,94,OF
DAY,.968,24,SS
QC,.523,21,SS
FTW,.593,108,1B
WMI,.468,27,3B
PEO,.714,7,3B
CLI,.775,56,C
CED,.514,6,C
WMI,.595,63,OF
LAN,.666,61,SS
PEO,.700,4,OF
LAN,.327,8,C
QC,.516,9,OF
CED,.742,0,1B
KCC,.693,81,OF
FTW,.702,19,OF
DAY,.771,12,OF
DAY,.730,38,SS
DAY,.778,33,OF
BEL,.667,57,OF
LAN,.717,40,SS
PEO,.744,29,OF
BUR,.466,21,OF
DAY,.554,35,SS
DAY,.182,5,C
QC,.735,49,OF
KCC,.664,78,C
BUR,.766,95,1B
BUR,.701,67,SS
LAN,.220,4,C
SOU,.278,8,OF
PEO,.582,6,OF
DAY,.501,10,C
CED,.718,66,2B
PEO,.787,55,3B
DAY,.703,63,2B
LAN,.704,37,SS
PEO,.786,137,OF
KCC,.898,19,OF
FTW,.728,44,2B
BUR,.593,53,OF
BUR,.794,68,3B
BUR,.751,19,C
BUR,.720,113,OF
QC,.637,28,C
CED,.613,107,OF
PEO,.753,40,OF
BEL,.596,23,SS
LAN,.810,34,C
DAY,.601,25,OF
SWM,.677,22,C
LAN,.694,18,C
DAY,.721,31,1B
BUR,.664,89,3B
DAY,.803,57,OF
PEO,.696,108,SS
FTW,.250,1,C
WIS,.881,32,SS
CED,.630,56,C
WMI,.622,87,OF
QC,.498,2,OF
DAY,.775,102,OF
FTW,.547,19,OF
BEL,.649,40,SS
SWM,.848,33,OF
CLI,.731,39,3B
