Opp,TOV%,BLK%,Tm,AST%,ORtg,TRB%,DRtg,GmSc
TOR,0.0,0.0,SEA,23.4,112,4.5,85,7.9
NYK,0.0,0.0,SEA,16.7,27,0.0,95,0.3
MEM, ,0.0,SEA,0.0, ,0.0,101,0.0
POR,33.3,0.0,SEA,29.4,44,3.9,103,0.2
LAC,100.0,0.0,SEA,0.0,0,0.0,103,-1.2
SAS,13.7,0.0,SEA,10.9,128,4.2,116,7.9
GSW,25.0,0.0,SEA,24.4,99,0.0,108,2.7
CLE,14.3,0.0,SEA,22.1,90,3.0,98,4.7
TOR,50.0,0.0,SEA,0.0,0,0.0,120,-1.7
UTA,25.0,0.0,SEA,15.2,63,5.6,132,0.3
CLE,100.0,0.0,SEA,18.0,104,4.9,131,-0.5
UTA,0.0,0.0,SEA,9.7,143,0.0,124,0.5
MEM,25.0,0.0,SEA,0.0,63,8.0,89,0.1
LAC,33.3,0.0,SEA,35.6,72,9.7,127,-0.8
DEN,33.3,0.0,SEA,0.0,67,0.0,103,-0.4
LAC,0.0,0.0,SEA,0.0,118,12.2,128,4.6
MEM,0.0,0.0,SEA,9.6,119,3.8,90,4.8
MIN,100.0,0.0,SEA,82.1,71,0.0,107,0.0
ATL,0.0,0.0,SEA,15.6,83,4.1,90,1.6
PHI, ,0.0,SEA,10.0,222,7.3,102,0.1
PHO,0.0,0.0,SEA,18.6,99,3.4,87,4.8
ATL,50.0,0.0,SEA,34.3,53,13.8,119,-1.4
BOS,20.0,0.0,SEA,8.2,103,3.3,121,2.6
MIN,0.0,0.0,SEA,0.0,102,0.0,126,1.0
HOU,0.0,5.3,SEA,19.0,175,11.0,102,9.1
DET,33.8,0.0,SEA,0.0,37,0.0,105,-2.5
DAL,50.0,0.0,SEA,0.0,0,0.0,121,-2.5
WAS,40.0,0.0,SEA,16.3,113,9.5,94,5.0
SAC,25.0,0.0,SEA,11.2,116,3.0,117,5.0
MIA,0.0,5.9,SEA,8.5,86,6.1,79,5.8
DAL,0.0,0.0,SEA,15.0,110,0.0,90,8.2
PHO,53.2,0.0,SEA,21.1,88,10.4,100,3.2
SAS,0.0,0.0,SEA,30.0,68,16.0,122,-0.1
SAC,0.0,0.0,SEA,33.7,95,0.0,112,1.3
