Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
DT Johnston (Ire),2010-2010,1,1,4.0,1,22,4,4/22,5.50,5.5,6.0,1,0
AC Botha (Ire),2010-2010,1,1,4.0,0,14,3,3/14,4.66,3.5,8.0,0,0
Aizaz Khan (HK),2014-2014,1,1,4.0,1,4,2,2/4,2.00,1.0,12.0,0,0
Tanwir Afzal (HK),2014-2014,1,1,4.0,1,8,2,2/8,4.00,2.0,12.0,0,0
SP Gauchan (Nepal),2014-2014,1,1,4.0,0,10,2,2/10,5.00,2.5,12.0,0,0
GH Dockrell (Ire),2010-2010,1,1,4.0,0,11,2,2/11,5.50,2.75,12.0,0,0
Nadeem Ahmed (HK),2014-2014,1,1,4.0,1,11,2,2/11,5.50,2.75,12.0,0,0
Sagar Pun (Nepal),2014-2014,1,1,4.0,0,11,2,2/11,5.50,2.75,12.0,0,0
Karim Sadiq (Afg),2010-2010,1,1,4.0,0,17,2,2/17,8.50,4.25,12.0,0,0
Irfan Ahmed (HK),2014-2014,1,1,4.0,0,24,2,2/24,12.00,6.0,12.0,0,0
P Khadka (Nepal),2014-2014,1,1,0.5,0,3,1,1/3,3.00,3.6,5.0,0,0
A Bhattarai (Nepal),2014-2014,1,1,3.0,0,12,1,1/12,12.00,4.0,18.0,0,0
Hamid Hassan (Afg),2010-2010,1,1,3.0,0,14,1,1/14,14.00,4.66,18.0,0,0
Sompal Kami (Nepal),2014-2014,1,1,4.0,0,17,1,1/17,17.00,4.25,24.0,0,0
Mohammad Nabi (Afg),2010-2010,1,1,4.0,1,19,1,1/19,19.00,4.75,24.0,0,0
Haseeb Amjad (HK),2014-2014,1,1,4.0,1,20,1,1/20,20.00,5.0,24.0,0,0
Dawlat Ahmadzai (Afg),2010-2010,1,1,2.0,0,25,1,1/25,25.00,12.5,12.0,0,0
Nawroz Mangal (Afg),2010-2010,1,1,0.1,0,4,0,-,-,24.0,-,0,0
B Regmi (Nepal),2014-2014,1,1,4.0,0,16,0,-,-,4.0,-,0,0
Shapoor Zadran (Afg),2010-2010,1,1,2.0,0,18,0,-,-,9.0,-,0,0
Samiullah Shenwari (Afg),2010-2010,1,1,3.0,0,19,0,-,-,6.33,-,0,0
KJ O'Brien (Ire),2010-2010,1,1,4.0,0,34,0,-,-,8.5,-,0,0
AR Cusack (Ire),2010-2010,1,1,4.0,0,38,0,-,-,9.5,-,0,0
