SO,SH,HR,CS,SLG,AVG,SF,AB
2,0,2,0,1.0,0.333,1,9
18,1,0,0,0.174,0.174,0,69
5,0,0,0,0.171,0.143,0,35
21,1,0,0,0.352,0.296,2,108
34,2,8,1,0.462,0.291,2,247
88,3,12,1,0.359,0.203,2,354
111,4,7,9,0.35,0.254,7,489
13,2,0,1,0.363,0.31,0,113
0,0,0,0,0.0,0.0,0,1
91,9,4,6,0.311,0.225,5,405
5,0,2,0,0.478,0.217,0,23
63,6,1,4,0.327,0.241,1,294
16,1,0,0,0.236,0.236,2,72
52,0,2,2,0.404,0.296,2,240
44,3,5,5,0.395,0.289,4,342
71,0,14,2,0.482,0.308,0,386
2,0,0,0,0.5,0.417,0,12
4,0,0,0,0.353,0.353,0,17
6,0,2,0,0.309,0.235,0,81
7,0,1,0,0.409,0.273,1,22
22,4,0,0,0.348,0.316,3,158
19,2,5,1,0.505,0.28,1,93
2,0,0,0,0.667,0.333,0,6
13,0,0,1,0.264,0.226,0,53
41,0,6,0,0.547,0.328,2,137
113,1,8,1,0.354,0.25,7,460
143,0,17,0,0.427,0.253,2,443
0,0,0,0,0.75,0.5,0,4
1,0,0,0,0.286,0.214,0,14
2,0,0,0,0.375,0.375,0,8
56,1,4,0,0.306,0.185,1,173
1,0,0,0,0.364,0.273,0,11
66,1,5,0,0.343,0.245,4,318
39,2,3,3,0.333,0.246,2,195
26,3,1,2,0.38,0.255,1,137
13,0,0,0,0.352,0.295,1,88
15,3,1,3,0.364,0.263,1,118
1,0,0,1,0.5,0.5,0,2
65,2,9,4,0.388,0.262,4,451
37,0,3,2,0.394,0.276,3,203
29,5,7,2,0.453,0.267,1,161
60,0,8,0,0.413,0.235,2,196
57,1,6,0,0.421,0.262,4,195
84,4,3,7,0.354,0.255,0,322
138,0,23,3,0.428,0.21,1,442
98,2,9,11,0.387,0.253,0,442
67,1,4,4,0.412,0.284,2,289
11,0,0,3,0.246,0.193,0,57
18,1,0,2,0.302,0.189,0,53
1,0,0,0,0.2,0.2,0,5
6,0,1,0,0.4,0.2,0,15
57,0,3,0,0.252,0.177,1,310
25,0,6,0,0.603,0.319,3,116
43,2,2,1,0.307,0.228,2,202
37,0,2,0,0.248,0.165,2,121
55,0,7,5,0.419,0.253,3,265
127,5,19,6,0.393,0.216,3,468
27,0,2,1,0.375,0.243,1,144
1,0,0,0,0.143,0.143,0,7
36,0,3,0,0.419,0.299,2,117
18,0,2,0,0.279,0.176,0,68
1,0,0,0,0.0,0.0,0,9
8,1,1,0,0.375,0.219,0,32
2,0,0,0,0.533,0.4,0,15
103,2,8,3,0.316,0.206,3,345
56,1,5,3,0.392,0.243,2,222
61,6,2,5,0.342,0.25,2,260
1,0,0,0,0.333,0.333,0,3
66,0,6,0,0.449,0.275,1,236
3,0,0,0,0.222,0.167,0,18
0,0,0,0,0.0,0.0,0,3
117,0,16,3,0.394,0.221,2,444
49,4,1,6,0.333,0.254,5,264
41,0,1,2,0.35,0.257,3,206
68,8,4,5,0.347,0.257,6,522
25,0,1,0,0.301,0.221,2,113
15,1,0,1,0.111,0.111,0,36
51,0,5,2,0.4,0.251,1,215
48,2,0,1,0.272,0.22,3,323
3,0,0,0,0.0,0.0,0,5
48,5,4,7,0.423,0.301,3,362
123,0,10,1,0.445,0.309,5,443
119,0,23,1,0.465,0.273,8,505
101,0,10,0,0.362,0.192,2,307
101,4,8,3,0.362,0.245,2,437
9,0,1,0,0.481,0.222,0,27
21,1,1,1,0.403,0.312,2,77
7,0,3,0,0.71,0.355,0,31
17,1,0,0,0.213,0.164,0,61
16,1,0,0,0.314,0.2,0,35
29,3,0,4,0.282,0.218,1,156
81,0,19,1,0.571,0.236,3,233
86,3,4,3,0.407,0.264,2,258
16,0,2,0,0.38,0.25,1,92
16,2,0,1,0.221,0.192,1,104
