Year,League,Team,Games,Games batting,R,AB,H,2B,3B,HR,RBI,SB,BB,HBP,SH
1913,AL,Chicago White Sox,20,20,1,25,3,0,0,0,0,0,3,0,2
1912,AL,Chicago White Sox,32,32,5,56,7,1,1,0,0,0,7,0,2
1911,AL,Chicago White Sox,39,39,12,78,20,1,1,0,6,1,7,0,4
1910,AL,Chicago White Sox,56,56,14,126,25,1,2,0,8,2,14,0,12
1909,AL,Chicago White Sox,72,72,24,192,45,1,5,0,7,7,33,0,13
1908,AL,Chicago White Sox,51,51,12,109,25,1,0,0,10,4,12,0,9
1907,AL,Chicago White Sox,48,48,12,90,20,1,0,0,2,2,12,0,12
1906,AL,Chicago White Sox,29,29,11,65,12,1,1,0,3,3,13,0,7
1905,AL,Chicago White Sox,37,37,7,90,15,4,1,0,7,3,4,0,4
1904,AL,Chicago White Sox,33,33,7,76,12,2,0,0,2,3,10,0,2
1903,AL,Chicago White Sox,38,38,10,99,20,3,0,0,5,1,19,0,2
1902,NL,Philadelphia Phillies,61,61,17,179,47,3,1,1,15,5,11,0,9
1901,NL,Philadelphia Phillies,31,31,15,98,27,3,1,1,10,1,2,1,7
