H,SB,SO,SLG,CS,3B
5,0,12,.143,0,0
1,0,0,1.333,0,0
47,2,41,.441,1,3
80,2,64,.583,2,2
10,0,15,.425,0,0
91,11,124,.419,9,3
1,0,3,.222,0,0
38,4,25,.342,2,0
132,31,91,.416,12,9
36,6,24,.574,1,5
7,0,12,.308,0,1
79,1,80,.531,1,1
31,1,7,.538,1,0
12,1,15,.266,1,0
6,5,3,.368,0,0
4,0,1,.750,0,0
92,31,39,.363,7,3
7,0,11,.178,0,0
29,1,28,.389,0,0
64,0,70,.504,1,0
99,7,118,.453,8,6
18,1,21,.417,0,0
106,14,183,.377,6,8
102,19,66,.352,5,5
123,25,64,.308,12,4
46,6,23,.362,3,1
5,0,4,.152,0,0
7,1,11,.216,0,0
38,3,47,.296,0,1
26,3,18,.333,2,1
4,0,1,.600,0,0
91,27,93,.339,11,3
5,1,1,.714,0,0
86,14,47,.353,6,4
23,1,16,.448,0,0
1,0,2,.200,0,0
40,0,60,.211,1,0
112,6,76,.392,2,6
40,3,55,.245,3,0
6,0,6,.308,0,0
2,0,2,.200,0,0
0,0,0,--,0,0
8,1,3,.538,0,1
79,5,39,.484,4,7
136,2,47,.398,3,1
80,8,69,.415,4,5
0,0,0,--,0,0
51,6,69,.357,4,2
100,1,88,.378,2,1
34,4,40,.371,1,2
69,3,57,.342,1,1
0,0,1,.000,0,0
0,0,0,--,0,0
53,1,73,.417,0,1
0,0,0,--,0,0
21,1,18,.508,0,1
97,30,100,.337,9,1
3,0,5,.231,1,0
57,3,94,.400,2,0
0,0,1,.000,0,0
1,0,1,.500,0,0
64,1,79,.310,0,1
42,3,42,.423,2,2
61,7,40,.555,1,2
34,4,27,.325,1,0
0,0,0,--,0,0
8,2,27,.206,0,0
82,19,102,.429,3,5
6,1,4,.290,0,0
