GS,BLK%,Opp,Tm,TRB%,TOV%,DRtg,G,eFG%
1,9.5,WAS,TOR,16.0,14.5,110,44,.800
1,0.0,MIA,TOR,20.6,16.7,102,19,.600
1,9.9,CHA,TOR,10.3,14.5,94,71,.600
1,0.0,PHI,TOR,12.2,22.5,93,37,.667
1,5.8,SAC,TOR,16.1,0.0,96,38,.667
1,4.5,CLE,TOR,9.2,0.0,105,16,.400
1,6.5,NJN,TOR,7.1,11.1,85,21,.750
1,6.5,CHA,TOR,9.8,20.0,98,40,.625
1,0.0,WAS,TOR,10.5,0.0,111,70,.750
1,4.7,LAC,TOR,12.2,0.0,116,46,.667
1,0.0,MIN,TOR,18.4,11.1,110,76,.750
1,8.6,NYK,TOR,14.9,42.9,95,63,.250
1,7.5,CHI,TOR,20.4,25.0,79,75,1.000
1,2.4,MIN,TOR,10.2,0.0,107,27,.571
0,0.0,LAL,TOR,12.4,0.0,111,8,.800
1,0.0,UTA,TOR,2.7,0.0,119,39,1.000
1,8.1,PHO,TOR,18.2,20.0,97,30,.375
1,3.0,MIA,TOR,17.5,0.0,103,72,.500
1,4.8,IND,TOR,6.8,12.7,109,43,.667
1,0.0,POR,TOR,4.5,0.0,116,18,.000
1,0.0,DET,TOR,13.1,25.0,82,77,.333
1,0.0,ORL,TOR,14.0,0.0,111,73,.500
1,7.4,IND,TOR,15.6,0.0,94,53,.600
1,15.8,SAC,TOR,16.2,0.0,102,6,.000
1,4.6,DAL,TOR,7.8,0.0,105,36,.333
1,2.7,ORL,TOR,12.3,0.0,115,47,.500
1,4.9,CHA,TOR,6.1,14.5,81,54,.400
1,0.0,SAS,TOR,21.0,0.0,119,55,.800
1,0.0,DET,TOR,12.8,0.0,111,79,.714
1,0.0,MIL,TOR,13.7,0.0,84,34,.000
1,8.6,BOS,TOR,6.9,11.1,100,68,.500
1,0.0,MIL,TOR,8.6,0.0,102,62,.800
1,0.0,LAL,TOR,15.0,20.5,105,48,.000
1,0.0,NYK,TOR,5.6,0.0,102,65,1.000
