Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,0.0,260.0,0.0,2000.0,L,1.0,B3,09/02/2012,3.0,USAW0479
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,0.0,260.0,0.0,2000.0,L,1.0,B3,09/02/2012,3.0,USAW0479
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,0.0,200.0,0.0,2000.0,L,2.0,B3,09/02/2012,3.0,USAW0479
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,0.0,200.0,0.0,2000.0,L,2.0,B3,09/02/2012,3.0,USAW0479
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,51.0,0.0,0.0,2000.0,L,2.0,B3,09/02/2012,5.0,USAW0479
 , , , , , , , , , , , , , 
METCALFE Jake,CAN,M,13W041L,51.0,0.0,0.0,2000.0,L,2.0,B3,09/02/2012,5.0,USAW0479
