Year,League,Team,Games,Games batting,R,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF
1972,AL,California Angels,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
1972,AL,Milwaukee Brewers,11,11,0,14,2,0,0,0,0,0,0,1,5,1,0,0,0
1970,AL,California Angels,114,114,19,351,85,13,1,2,25,0,0,24,40,4,2,1,3
1969,AL,California Angels,80,80,15,248,54,6,0,1,19,0,1,27,28,11,2,1,4
1969,AL,Boston Red Sox,19,19,7,51,11,2,0,0,3,0,0,4,5,1,0,0,0
1969,AL,Cleveland Indians,7,7,1,24,7,0,0,1,1,0,0,4,3,0,0,0,0
1968,AL,Cleveland Indians,115,115,23,357,100,10,0,4,42,1,1,28,33,5,0,2,2
1967,AL,Cleveland Indians,86,86,33,295,74,12,5,11,34,0,3,22,35,0,3,1,3
1966,AL,Cleveland Indians,98,98,22,302,83,10,1,9,37,0,2,20,22,5,2,1,5
1965,AL,Cleveland Indians,111,111,16,335,77,7,0,2,35,2,1,27,54,8,3,2,4
1964,AL,Cleveland Indians,83,83,20,271,74,9,1,4,34,0,2,16,38,2,2,1,4
1963,AL,Cleveland Indians,94,94,26,320,91,16,0,14,46,1,1,15,46,1,0,1,3
1963,AL,Kansas City Athletics,2,2,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
1962,AL,Kansas City Athletics,72,72,18,223,51,9,1,2,25,1,0,17,27,7,3,1,4
1960,NL,Cincinnati Reds,14,14,1,31,3,0,0,0,3,0,1,2,6,0,0,0,0
