ORtg,AST%,Date,TOV%,BLK%,DRtg,Opp,DRB%,MP
117,4.9,2002-02-05,33.3,0.0,121,WAS,20.2,31:00
41,0.0,2002-03-22,0.0,0.0,84,CLE,30.6,16:00
107,0.0,2002-02-15,0.0,0.0,119,UTA,16.8,19:00
30,16.4,2001-12-07,0.0,17.6,77,DEN,56.6,9:00
 ,0.0,2001-11-25, ,0.0,113,PHI,0.0,2:00
0,0.0,2001-11-13,0.0,0.0,95,SAC,60.0,2:00
 ,0.0,2002-03-17, ,0.0,75,SAC,0.0,2:00
0,0.0,2002-02-22,0.0,0.0,84,DET,19.6,7:00
27,7.4,2001-12-23,25.0,8.4,85,MIA,11.5,19:00
60,0.0,2002-02-18,34.0,0.0,124,DET,6.3,21:00
103,0.0,2002-01-02,0.0,0.0,90,POR,31.4,6:00
97,6.2,2002-02-07,9.1,3.6,71,SAS,20.4,40:00
0,0.0,2002-01-13,50.0,0.0,93,LAC,24.2,11:00
 ,0.0,2001-11-10, ,0.0,111,UTA,0.0,4:00
 ,0.0,2001-12-02, ,0.0,76,BOS,78.3,4:00
76,0.0,2002-03-31,14.3,0.0,87,PHI,5.8,23:00
0,0.0,2002-01-31,100.0,0.0,103,BOS,14.9,7:00
96,0.0,2002-03-19,0.0,0.0,131,MIN,0.0,6:00
0,0.0,2002-04-05,0.0,0.0,113,CHI,7.6,15:00
