SLG,HR,SO,OPS,3B,Team,GIDP,SH,Player,RBI
.000,0,5,0.0,0,MXO,0,0,A Sais,0
.500,0,1,0.75,0,CAM,1,0,F Villaescusa,1
.359,6,70,0.728,1,SLT,6,11,J Munoz,34
.311,1,66,0.676,4,MTY,2,1,F Romero,27
.465,2,48,0.88,1,MXO,5,5,C Herrera,25
.467,3,12,0.781,0,CAM,1,0,D Minor,9
.606,12,39,1.057,0,MXO,20,0,G Gil,71
.365,1,38,0.774,2,YUC,9,1,H Castaneda,24
.481,1,14,0.855,3,SLT,4,3,J Rodriguez,21
.512,15,51,0.879,1,PUE,11,2,P Iturbe,76
.303,2,15,0.565,0,VRA,3,5,J Ruiz,15
.444,2,21,0.835,0,VAQ,6,0,I Valenzuela,21
.385,6,31,0.721,0,VRA,10,8,P Mere,43
.497,12,53,0.905,2,MVA,5,8,H Garanzuay,61
.190,0,2,0.381,0,SLT,0,1,F Villegas,0
.325,0,33,0.68,2,MVA,9,20,D Castro,40
.609,6,17,1.026,3,VAQ,2,2,D Smith,27
.353,0,40,0.673,2,TIJ,7,11,I Rincon,20
.683,30,85,1.161,0,MTY,5,0,M Lopez,94
.255,0,34,0.53,0,COR,4,9,I Bellazetin,9
--,0,0,0.0,0,SLT,0,0,R Diaz,0
.353,0,7,0.734,0,VRA,3,0,T Zuniga,8
.390,7,57,0.74,0,SLP,13,6,O Mendoza,33
.411,6,32,0.757,0,MXO,6,1,L Arauz,20
--,0,0,0.0,0,TIJ,0,0,C Moreno,0
.364,5,24,0.706,0,CAM,15,0,D Fornes,21
.513,8,37,0.919,0,MTY,6,3,A Amezcua,39
.389,1,36,0.772,4,AGU,10,8,R Gonzalez,49
.508,15,64,0.874,6,CAM,4,2,A French,55
.242,0,6,0.558,0,VRA,1,0,R Candelario,2
.442,2,32,0.89,3,VAQ,6,5,D Sherman,21
.309,1,25,0.612,0,PUE,5,2,C Bernal,10
.309,1,32,0.625,1,SLP,6,3,R Lugo,16
.317,0,18,0.601,0,TAB,3,0,C Morales,2
.580,21,63,0.973,0,MVA,12,1,R Saenz,85
--,0,0,0.0,0,VAQ,0,0,J Parra,0
.652,33,60,1.039,2,AGU,9,0,E Rios,112
.446,11,32,0.764,1,TIJ,5,2,H Paez,47
.514,7,9,0.847,1,AGU,1,0,J Nieves,20
.625,0,1,1.213,0,TAB,0,0,R Morales,4
.357,0,5,0.795,0,TAB,0,1,R Pereyra,2
.502,12,53,0.879,1,MXO,7,1,J Sandoval,53
.313,4,54,0.588,0,MTY,10,2,C Rodriguez,25
.375,0,12,0.679,1,YUC,2,2,G Angulo,8
.331,0,33,0.677,3,AGU,5,2,A Arredondo,17
.457,3,27,0.847,1,OAX,7,0,J Camilo,32
.416,7,38,0.739,0,MTY,6,1,F Mendez,21
.501,11,37,0.845,1,MXO,10,4,C Valencia,58
.386,5,28,0.686,0,CAM,17,11,R Sanchez,39
.467,8,44,0.87,2,MVA,10,3,G Meza,50
.633,9,19,1.089,0,MVA,3,0,J Bass,24
.317,0,41,0.651,2,TAB,2,5,M Alfonso,5
.519,17,46,0.932,0,MXO,6,0,M Valdez,59
.266,1,28,0.538,0,COR,1,4,C Zazueta,18
.386,2,38,0.726,0,SLP,11,3,C Valle,31
.100,0,2,0.35,0,TIJ,2,0,J Ibarra,0
.250,0,9,0.498,0,TAB,5,0,A Gutierrez,5
.420,5,42,0.809,0,SLT,14,7,N Munoz,52
--,0,0,0.0,0,TIJ,0,1,K Yabu,0
.250,0,16,0.519,0,TAB,2,4,J Robles,3
.280,0,23,0.585,1,MXO,0,1,D Fernandez,6
.211,0,3,0.483,0,TIG,1,0,J Romo,2
.506,3,12,0.949,0,CAM,9,1,L Figueroa,22
.328,4,44,0.682,1,TIJ,9,6,J Hernandez,21
.497,15,46,0.884,1,YUC,9,1,P Castellano,87
--,0,0,0.0,0,TIJ,0,0,J Perez,0
.293,1,18,0.588,0,TAB,4,3,L Fentanes,7
--,0,0,0.0,0,SLT,0,0,E Neri,0
.391,2,11,0.725,0,OAX,0,0,O Higuera,6
.474,3,51,0.874,8,PUE,7,4,A Contreras,38
.286,1,13,0.583,0,TAB,1,0,J Yan,3
.436,2,11,0.841,0,MXO,2,0,M Ojeda,11
.161,0,8,0.39,0,VRA,0,1,F Perez,2
.380,2,25,0.76,4,MTY,11,5,M Flores,40
.250,0,11,0.542,0,VRA,1,0,F Rivera,4
.564,19,55,0.973,0,VRA,12,0,W Otanez,76
.333,3,15,0.623,0,CAM,4,1,H Estrada,11
.346,2,27,0.663,1,TAB,11,4,R Diaz,27
.515,6,28,0.887,0,TAB,4,0,A Pena,28
.520,19,38,0.874,2,TIJ,13,0,G Arias,71
.483,4,7,0.831,1,OAX,2,0,C Pacho,5
.391,2,23,0.756,0,MVA,6,5,G Sotomayor,20
.503,9,27,0.876,0,VAQ,18,0,F Rodriguez,45
.314,2,21,0.58,0,SLP,3,1,E Salcedo,17
.071,0,4,0.259,0,SLT,0,1,F Esparragoza,0
--,0,0,0.0,0,SLT,0,0,A Ruiz,0
.344,4,51,0.654,1,VRA,4,10,H Hernandez,35
.000,0,0,0.0,0,VAQ,0,0,P Pinto,0
.542,23,69,0.966,0,PUE,5,0,D Leon,86
