Rk,GB%,BABIP,HR,PA,SLG,K%,Iso,OBP,wOBA
48,36.4%,0.321,3,229,0.27,35.8%,0.071,0.301,0.295
51,42.3%,0.278,10,226,0.464,23.9%,0.218,0.272,0.333
19,48.8%,0.292,1,263,0.295,12.9%,0.038,0.305,0.285
11,49.5%,0.325,0,271,0.364,16.2%,0.095,0.315,0.319
18,41.1%,0.241,5,263,0.321,21.3%,0.118,0.247,0.275
10,45.9%,0.327,2,275,0.354,15.3%,0.074,0.346,0.346
24,55.3%,0.335,2,257,0.357,17.9%,0.079,0.335,0.332
35,41.5%,0.288,6,247,0.433,13.4%,0.168,0.356,0.37
16,30.8%,0.382,10,264,0.448,35.6%,0.189,0.326,0.377
43,48.9%,0.319,1,236,0.34,14.0%,0.062,0.32,0.307
34,45.4%,0.277,1,249,0.284,18.9%,0.059,0.309,0.282
20,47.1%,0.265,1,263,0.32,7.6%,0.071,0.292,0.295
66,40.0%,0.294,7,206,0.462,12.6%,0.179,0.35,0.37
40,38.1%,0.287,4,240,0.341,24.6%,0.121,0.329,0.33
52,48.2%,0.355,2,225,0.415,19.6%,0.127,0.329,0.36
1,46.4%,0.372,1,292,0.362,20.2%,0.068,0.346,0.342
3,33.7%,0.284,10,287,0.433,16.4%,0.17,0.35,0.365
62,46.0%,0.317,0,211,0.311,14.2%,0.043,0.336,0.317
65,35.7%,0.341,3,207,0.361,25.1%,0.105,0.348,0.328
27,57.9%,0.301,0,253,0.274,17.0%,0.026,0.285,0.278
60,44.0%,0.302,2,215,0.36,14.4%,0.095,0.324,0.32
41,34.7%,0.314,4,239,0.39,21.8%,0.136,0.289,0.328
37,51.3%,0.254,1,245,0.255,15.9%,0.037,0.256,0.253
61,65.6%,0.316,0,212,0.274,17.0%,0.011,0.304,0.269
30,36.6%,0.367,1,252,0.393,11.1%,0.067,0.385,0.361
50,52.5%,0.246,0,227,0.225,15.0%,0.019,0.249,0.244
2,48.6%,0.333,8,288,0.397,27.1%,0.14,0.324,0.334
