STL%,AST%,TRB%,Opp,GS,DRB%
2.2,12.5,2.3,BOS,1,0.0
4.3,24.5,4.2,CHA,1,6.9
0.0,0.0,0.0,UTA,0,0.0
0.0,0.0,13.1,POR,0,24.8
0.0,29.2,11.7,SEA,0,25.0
0.0,7.5,6.8,HOU,0,6.0
3.4,14.5,3.6,GSW,0,6.0
0.0,14.2,4.4,WAS,0,8.0
0.0,52.7,0.0,PHI,0,0.0
0.0,24.7,10.1,LAL,1,19.8
0.0,24.2,5.9,DEN,1,7.9
7.8,34.2,0.0,LAC,0,0.0
0.0,0.0,4.8,ORL,0,8.9
0.0,14.1,0.0,MIN,0,0.0
0.0,31.4,6.1,MEM,0,5.6
0.0,0.0,0.0,MIL,0,0.0
0.0,12.1,4.9,DAL,0,11.3
0.0,40.4,0.0,NJN,0,0.0
0.0,37.2,0.0,MIA,0,0.0
0.0,34.5,0.0,LAL,0,0.0
0.0,0.0,0.0,HOU,0,0.0
2.6,14.7,0.0,MEM,0,0.0
3.5,24.0,3.6,POR,0,6.8
0.0,45.2,2.7,SEA,0,5.2
0.0,36.4,4.4,TOR,0,9.1
0.0,0.0,0.0,PHO,0,0.0
0.0,0.0,0.0,MIN,0,0.0
0.0,11.3,0.0,SAC,0,0.0
0.0,18.6,3.1,PHO,1,6.5
5.0,15.9,1.9,PHO,0,0.0
0.0,29.7,6.6,CHI,0,13.2
0.0,7.2,3.4,UTA,0,5.8
6.9,44.9,5.7,MIN,0,11.9
0.0,47.1,4.6,LAC,0,0.0
3.0,34.6,3.2,CHI,0,5.9
0.0,26.2,0.0,NYK,0,0.0
0.0,0.0,10.1,MIN,0,19.5
