Playerplayer name,POSplayer position,VALplayer value,XIstarting XI appearance (2 pts),Subsubstitute appearance (1 pt),Ggoals scored (5 pts),"PMpenalty missed (-2 pts, including shootouts)",KCkey contribution (3 pts),"CSFclean sheet - full match (4 pts, GK & DEF only)","CSPclean sheet - part match (2 pts, GK & DEF only)","GCgoal conceded (excluding shootouts, GK & DEF only)","PSpenalty save (5 pts, including shootouts, GK only)",RCred card (-3 pts),YCyellow card (-1 pts),OGown goal (-3 pts),Pts/£points per £,Ptstotal points
"Cisse, P",STR,£5.2m,11,11,11,0,1,-,-,-,-,0,1,0,17.3,90
"Mitrovic, A",STR,£4.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
"Perez, A",STR,£4.2m,25,11,7,0,1,-,-,-,-,0,0,0,23.6,99
"Riviere, E",STR,£4.0m,16,8,1,0,2,-,-,-,-,0,0,0,12.8,51
"Wijnaldum, G",MID,£3.9m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
"Sissoko, M",MID,£3.6m,34,0,4,0,5,-,-,-,-,2,7,0,25.0,90
"Colback, J",MID,£3.5m,35,0,4,0,9,-,-,-,-,0,12,0,30.0,105
"Cabella, R",MID,£3.4m,22,10,1,0,4,-,-,-,-,0,2,0,20.3,69
"Anita, V",MID,£3.3m,18,2,0,0,0,-,-,-,-,0,3,0,10.6,35
"de Jong, S",MID,£3.3m,1,3,1,0,0,-,-,-,-,0,0,0,3.0,10
"Aarons, R",MID,£3.0m,0,4,1,0,1,-,-,-,-,0,1,0,3.7,11
"Coloccini, F",DEF,£3.0m,32,0,1,0,0,6,1,55,-,1,3,0,19.7,59
"Gouffran, Y",MID,£3.0m,24,7,2,0,1,-,-,-,-,0,3,0,21.7,65
"Janmaat, D",DEF,£3.0m,37,0,1,0,6,8,0,60,-,1,7,0,29.3,88
"Krul, T",GK,£3.0m,30,0,0,0,1,8,0,47,0,0,1,0,23.0,69
"Tiote, C",MID,£3.0m,11,1,0,0,3,-,-,-,-,0,6,0,8.7,26
"Taylor, S",DEF,£2.9m,7,3,1,0,0,2,4,6,-,1,2,0,10.7,31
"Obertan, G",MID,£2.8m,8,5,1,0,2,-,-,-,-,0,0,0,11.4,32
"Marveaux, S",MID,£2.7m,0,0,0,0,0,-,-,-,-,0,0,0,0.0,0
"Vuckic, H",MID,£2.7m,1,1,0,0,0,-,-,-,-,0,0,0,1.1,3
"Williamson, M",DEF,£2.6m,28,4,1,0,1,4,3,53,-,2,5,0,19.6,51
"Abeid, M",MID,£2.5m,5,6,0,0,0,-,-,-,-,0,0,0,6.4,16
"Dummett, P",DEF,£2.5m,25,1,0,0,0,5,2,35,-,0,4,0,20.8,52
"Haidara, M",DEF,£2.4m,13,3,0,0,1,3,3,20,-,0,1,0,16.2,39
"Lascelles, J",DEF,£2.4m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
"Darlow, K",GK,£2.1m,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
"Good, C",DEF,£2.1m,0,0,0,0,0,0,0,0,-,0,0,0,0.0,0
"Elliot, R",GK,£1.7m,3,0,0,0,0,0,1,2,0,0,0,0,4.7,8
