H,AVG,3B,G,2B,CS,SH,SB
104,.257,3,101,22,1,0,4
64,.258,0,75,15,0,4,4
0,--,0,23,0,0,0,0
0,.000,0,9,0,0,0,0
31,.196,0,46,5,3,2,3
3,.429,0,4,1,0,0,0
126,.288,3,112,19,11,11,5
1,.100,0,4,0,0,0,1
116,.298,1,103,15,1,2,0
76,.276,1,79,17,0,3,1
5,.135,0,14,2,0,1,0
34,.266,0,40,9,0,0,0
71,.267,3,86,15,1,0,0
0,--,0,1,0,0,0,0
62,.250,0,68,15,1,2,1
56,.207,0,84,12,0,3,0
111,.288,1,108,28,1,1,1
124,.266,11,132,30,9,13,23
80,.294,3,73,15,6,0,13
94,.254,1,111,31,1,2,1
0,--,0,2,0,0,0,0
92,.271,2,107,14,2,11,5
1,.059,0,9,1,0,1,0
45,.269,1,49,4,0,1,0
6,.300,0,13,1,0,8,0
41,.232,0,49,11,1,0,2
0,.000,0,4,0,0,1,0
1,.333,0,20,0,0,1,0
78,.257,2,92,13,1,3,1
33,.308,0,30,5,0,0,1
143,.278,3,134,19,2,5,21
60,.260,0,72,11,2,1,1
0,.000,0,5,0,0,0,0
1,.167,0,14,0,0,0,0
0,--,0,2,0,0,0,0
0,--,0,7,0,0,0,0
1,.077,0,10,1,0,2,0
41,.204,0,58,12,1,0,0
73,.221,3,106,10,8,12,20
0,.000,0,2,0,0,0,0
76,.277,3,80,12,4,5,5
54,.244,2,65,17,2,4,10
0,--,0,3,0,0,0,0
0,--,0,1,0,0,0,0
0,--,0,20,0,0,0,0
18,.250,1,28,4,0,0,0
79,.227,9,99,18,3,9,11
1,1.000,0,10,0,0,0,0
82,.298,0,79,23,4,0,4
4,.160,0,8,0,0,0,0
0,.000,0,1,0,0,0,0
46,.213,0,68,8,0,1,1
0,.000,0,1,0,0,0,0
131,.267,2,120,39,3,0,4
0,.000,0,16,0,0,1,0
3,.250,0,13,1,0,0,0
83,.336,1,69,13,3,2,11
98,.268,1,92,15,9,4,36
0,--,0,1,0,0,2,0
75,.300,0,66,13,0,3,0
71,.222,0,91,8,2,3,0
0,.000,0,2,0,0,0,0
7,.103,0,18,0,0,0,0
125,.291,1,113,22,2,0,0
32,.267,0,34,9,1,1,1
70,.345,0,61,16,1,5,3
10,.145,0,22,1,0,1,0
100,.256,1,124,27,2,2,5
123,.272,0,123,36,1,0,3
1,.083,0,6,0,0,2,0
0,.000,0,4,0,0,0,0
0,--,0,7,0,0,0,0
120,.281,0,128,31,4,7,18
42,.219,3,60,8,0,8,14
32,.242,1,37,2,5,1,5
111,.291,1,110,27,0,0,4
114,.277,3,105,25,11,3,30
38,.239,1,44,8,4,0,5
0,.000,0,2,0,0,0,0
64,.292,2,60,9,0,0,1
37,.303,1,35,3,0,2,0
71,.295,3,64,14,5,0,3
0,.000,0,1,0,0,0,0
2,.667,0,9,0,0,0,0
16,.242,0,28,4,0,0,2
16,.254,2,16,1,3,0,6
53,.243,0,67,10,0,3,2
0,--,0,1,0,0,0,0
71,.303,0,64,17,0,1,4
0,.000,0,15,0,0,0,0
0,--,0,1,0,0,0,0
70,.324,2,61,12,4,3,9
0,--,0,5,0,0,0,0
19,.209,1,24,4,1,0,2
0,.000,0,22,0,0,0,0
2,.286,0,6,0,0,2,0
68,.251,2,70,13,2,2,8
87,.241,0,101,22,1,1,1
2,.250,0,8,0,0,0,0
23,.250,0,41,5,2,3,6
101,.287,3,98,21,1,0,3
5,.313,0,5,0,0,0,1
0,.000,0,2,0,0,1,0
144,.300,5,130,32,2,4,11
35,.280,1,34,6,1,1,2
9,.155,0,15,4,0,0,1
9,.209,0,13,3,0,1,0
36,.208,0,56,4,3,6,0
1,.250,0,11,0,0,0,0
0,.000,0,5,0,0,1,0
0,.000,0,24,0,0,0,0
25,.263,0,25,4,0,0,0
59,.241,0,69,10,1,1,7
59,.267,0,58,14,0,0,1
0,--,0,1,0,0,0,0
0,.000,0,1,0,0,0,0
20,.247,0,22,2,1,1,1
74,.241,1,90,13,1,0,3
129,.254,2,136,31,8,2,15
