AB,POS,H,SLG,SH,2B
28,C,6,.250,0,1
63,SS,11,.302,1,2
3,SS,0,.000,0,0
39,OF,4,.128,0,1
508,OF,168,.575,0,34
85,OF,18,.259,0,4
386,3B,107,.422,1,24
116,2B,22,.250,2,4
9,SS,2,.222,0,0
348,OF,79,.351,0,12
33,OF,6,.212,0,1
343,C,82,.373,9,15
61,SS,16,.295,2,2
153,C,34,.314,0,5
0,P,0,--,0,0
127,OF,22,.268,0,6
441,C,146,.469,0,25
33,OF,8,.364,0,1
20,C,3,.200,0,1
502,SS,141,.388,3,23
178,OF,46,.326,0,8
13,SS,3,.231,0,0
46,C,11,.283,0,2
486,2B,141,.379,13,15
38,C,4,.132,0,1
247,1B,64,.368,0,12
199,OF,54,.487,2,11
55,OF,20,.509,0,1
172,1B,38,.395,0,12
113,OF,28,.442,1,7
295,OF,63,.305,6,12
143,C,43,.580,0,10
276,SS,61,.254,1,6
299,C,81,.455,2,25
132,2B,49,.447,1,7
55,OF,9,.200,0,2
80,C,7,.238,0,2
160,2B,28,.225,1,5
116,C,21,.216,2,4
23,OF,3,.174,0,1
259,SS,61,.371,0,21
231,1B,49,.290,1,10
23,OF,4,.348,0,1
4,C,0,.000,0,0
315,SS,76,.330,0,13
485,C,146,.452,0,33
112,SS,31,.339,0,7
321,CF,99,.414,5,13
0,P,0,--,0,0
168,SS,27,.274,3,4
195,OF,48,.344,5,5
427,OF,107,.330,12,16
378,C,86,.357,1,26
120,C,24,.292,3,6
384,SS,89,.299,3,14
212,OF,61,.425,0,15
132,SS,25,.258,2,3
423,OF,132,.409,7,15
253,OF,67,.364,0,11
412,OF,100,.447,3,28
33,C,6,.182,2,0
1,P,1,1.000,0,0
441,2B,118,.367,12,23
77,1B,22,.390,0,5
108,SS,17,.176,1,2
298,OF,75,.379,0,18
148,OF,44,.412,4,12
234,SS,68,.427,0,11
27,3B,5,.296,0,3
11,2B,2,.273,1,1
373,OF,82,.330,6,13
403,OF,126,.494,0,22
41,SS,7,.317,3,1
295,1B,67,.356,0,18
36,OF,6,.167,0,0
86,C,16,.302,0,4
439,SS,128,.487,8,19
103,OF,25,.340,1,4
131,OF,31,.344,2,3
266,1B,59,.297,0,8
163,OF,42,.399,0,7
92,OF,19,.228,3,2
19,2B,5,.368,0,0
24,OF,0,.000,0,0
5,C,3,.600,0,0
375,OF,99,.389,2,19
304,OF,88,.447,4,22
224,OF,63,.536,0,13
379,SS,103,.412,2,22
1,P,0,.000,0,0
249,OF,89,.490,0,17
6,3B,3,.500,0,0
453,1B,132,.603,0,31
427,C,122,.382,0,29
20,OF,4,.200,0,0
84,OF,17,.250,0,1
301,SS,62,.319,1,8
7,OF,2,.429,0,1
195,2B,59,.528,1,14
17,3B,8,1.059,0,2
232,C,60,.345,2,9
12,OF,3,.250,1,0
399,OF,107,.451,5,24
25,SS,4,.280,0,0
335,2B,87,.328,0,14
62,3B,8,.145,0,1
196,OF,49,.362,0,8
71,C,20,.493,0,6
328,1B,80,.405,0,19
6,C,0,.000,0,0
69,SS,7,.130,0,2
86,1B,28,.407,0,4
63,2B,15,.302,1,4
123,C,30,.382,1,3
478,3B,141,.552,0,35
273,1B,83,.473,1,16
237,3B,52,.388,0,10
420,2B,126,.400,3,19
69,2B,21,.609,0,4
76,1B,18,.289,0,4
413,OF,115,.523,2,36
1,P,0,.000,0,0
39,SS,7,.205,0,1
15,OF,3,.267,0,1
488,3B,137,.422,1,32
374,3B,105,.401,3,29
69,C,18,.362,1,7
72,OF,17,.236,1,0
38,SS,9,.395,1,4
16,LF,8,.750,0,1
29,3B,6,.379,0,2
207,SS,40,.232,4,6
474,3B,120,.367,0,30
7,C,0,.000,0,0
0,P,0,--,0,0
45,2B,12,.333,4,3
233,2B,46,.232,2,3
115,OF,23,.243,1,3
133,C,25,.256,0,2
0,P,0,--,0,0
315,1B,71,.314,0,16
385,OF,88,.345,1,14
449,OF,113,.341,3,23
239,C,64,.519,3,14
54,3B,14,.333,0,4
0,P,0,--,0,0
18,OF,5,.389,1,2
301,OF,87,.515,0,29
53,C,15,.321,1,2
231,SS,66,.554,1,19
25,C,4,.200,2,1
317,2B,102,.416,3,14
124,OF,36,.427,2,8
409,C,107,.428,1,27
133,OF,55,.624,0,14
0,P,0,--,0,0
272,LF,67,.382,1,15
131,SS,14,.153,3,4
355,OF,83,.352,0,19
37,OF,11,.432,0,5
419,SS,127,.442,1,23
44,C,9,.273,0,3
160,2B,54,.544,1,19
153,3B,29,.242,3,6
168,C,40,.357,0,8
343,C,77,.466,2,24
181,2B,44,.276,4,4
47,C,7,.191,1,2
434,2B,139,.498,5,33
23,3B,4,.304,0,0
156,OF,48,.577,0,12
259,OF,79,.371,0,11
