BLK%,Age,Tm,eFG%,MP,G
0.0,26-045,BOS,.000,4:00,16
0.0,26-122,BOS,.800,26:00,54
0.0,26-019,BOS,.000,9:00,5
0.0,26-108,BOS,.500,11:00,46
0.0,26-112,BOS,.750,10:00,48
0.0,26-103,BOS,1.000,10:00,43
0.0,26-101,BOS,1.000,5:00,42
0.0,26-081,BOS,1.000,10:00,33
0.0,26-017,BOS,.000,4:00,4
2.8,26-098,BOS,.333,18:00,41
0.0,26-085,BOS,.500,4:00,35
0.0,26-121,BOS,.667,24:00,53
0.0,26-012,BOS, ,1:00,2
0.0,25-342,CHI, ,7:00,1
0.0,26-061,BOS,.333,11:00,24
0.0,26-041,BOS,.417,21:00,14
0.0,26-078,BOS,.000,11:00,31
0.0,26-056,BOS,.500,16:00,21
0.0,26-026,BOS,.667,13:00,7
0.0,26-140,BOS, ,5:00,62
5.0,26-054,BOS,.200,12:00,20
0.0,26-107,BOS,.500,6:00,45
2.5,26-020,BOS,.167,20:00,6
0.0,26-050,BOS, ,6:00,18
0.0,26-027,BOS,.500,6:00,8
0.0,26-131,BOS,.600,18:00,58
0.0,26-116,BOS,.500,8:00,50
0.0,26-094,BOS,.000,5:00,39
0.0,26-072,BOS,1.000,12:00,27
0.0,26-058,BOS,1.000,7:00,22
