Season,Team,Games,At Bats,Hits,Runs,Doubles,Triples,Home Runs,Grand Slams,RBIs,Bases on balls,Intentional Bases on Balls,Strikeouts,Sacrifice Hits,Sacrifice Flies,Hit by Pitch,Grounded into Double Play,Batting Average,On Base Percentage,Slugging Percentage
Edit Delete Edit localized... View CVT 1973 Major League Baseball Season,San Diego Padres,56.0,141.0,39.0,9.0,4.0,1.0,3.0,0.0,12.0,12.0,1.0,19.0,0.0,1.0,0.0,5.0,0.277,0.331,0.383
Edit Delete Edit localized... View CVT 1974 Major League Baseball Season,San Diego Padres,145.0,498.0,132.0,57.0,18.0,4.0,20.0,0.0,75.0,40.0,2.0,96.0,0.0,5.0,1.0,14.0,0.265,0.318,0.438
Edit Delete Edit localized... View CVT 1975 Major League Baseball Season,San Diego Padres,143.0,509.0,136.0,74.0,20.0,2.0,15.0,0.0,76.0,69.0,14.0,82.0,3.0,7.0,3.0,11.0,0.267,0.354,0.403
Edit Delete Edit localized... View CVT 1976 Major League Baseball Season,San Diego Padres,137.0,492.0,139.0,81.0,26.0,4.0,13.0,2.0,69.0,65.0,8.0,78.0,2.0,5.0,3.0,14.0,0.283,0.366,0.431
Edit Delete Edit localized... View CVT 1977 Major League Baseball Season,San Diego Padres,157.0,615.0,169.0,104.0,29.0,7.0,25.0,0.0,92.0,58.0,10.0,75.0,0.0,5.0,0.0,12.0,0.275,0.335,0.467
Edit Delete Edit localized... View CVT 1978 Major League Baseball Season,San Diego Padres,158.0,587.0,181.0,88.0,30.0,5.0,24.0,1.0,97.0,55.0,20.0,81.0,0.0,5.0,2.0,13.0,0.308,0.367,0.499
Edit Delete Edit localized... View CVT 1979 Major League Baseball Season,San Diego Padres,159.0,597.0,184.0,97.0,27.0,10.0,34.0,0.0,118.0,85.0,24.0,71.0,0.0,2.0,2.0,9.0,0.308,0.395,0.558
Edit Delete Edit localized... View CVT 1980 Major League Baseball Season,San Diego Padres,162.0,558.0,154.0,89.0,25.0,6.0,20.0,0.0,87.0,79.0,14.0,83.0,0.0,4.0,2.0,13.0,0.276,0.365,0.45
Edit Delete Edit localized... View CVT 1981 Major League Baseball Season,New York Yankees,105.0,388.0,114.0,52.0,25.0,1.0,13.0,0.0,68.0,43.0,3.0,41.0,1.0,7.0,1.0,13.0,0.294,0.36,0.464
Edit Delete Edit localized... View CVT 1982 Major League Baseball Season,New York Yankees,140.0,539.0,151.0,84.0,24.0,8.0,37.0,1.0,106.0,45.0,7.0,64.0,5.0,8.0,0.0,20.0,0.28,0.331,0.56
23 values total », , , , , , , , , , , , , , , , , , , , 
